mck_cong_ty_HO,ten_cong_ty_con,ti_le_so_huu
VIC,Công ty TNHH Triển khai Hệ thống Phần mềm Vinsoftware,80%
VIC,Công ty TNHH Vintech Ventures,80%
STB,Sacombank Cambodia Plc,100%
STB,Chi nhánh Lào,100%
SAB,Công ty TNHH MTV Tập đoàn Bia Sài Gòn,100%
SAB,Công ty TNHH MTV Cơ khí Sabeco,100%
VTR,Viet Nam Travel and Marketing Transports Joint Stock Company - Vietravel,100%
VTR,Công ty Sài Gòn City Travel & Tours LLC,100%
VTR,Viet Nam Travel and Marketing Transports Private Limited,100%
VTR,Công ty TNHH An Incentives,100%
VTR,Công ty TNHH Indochina Heritage Travel,100%
VTR,Công ty TNHH MTV đầu tư và phát triển Vietravel,100%
DXG,CTCP BĐS Đất Xanh An Giang,51%
DXG,CTCP Xây dựng FBV,51%
DXG,CTCP Công Nghệ Bất động sản Việt Nam,51%
PLX,Công ty TNHH Xăng dầu Kiên Giang,51%
PLX,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu,51%
PLX,CTCP Tư vấn xây dựng Petrolimex,51%
PLX,Công ty cổ phần Thiết bị Xăng dầu Petrolimex,39.44%
VIC,Công ty TNHH Tư vấn Giải pháp Tự động hóa Quản trị Vinbrain,80%
VIC,Công ty TNHH Vingroup Ru,80%
VIC,Công ty TNHH Vingroup USA,80%
SAB,CTCP Thương mại Bia Sài Gòn Bắc Trung Bộ,95.07%
SAB,CTCP Thương mại Bia Sài Gòn Miền Bắc,94.72%
SAB,CTCP Thương mại Bia Sài Gòn Trung tâm,94.41%
SAB,CTCP Rượu Bình Tây,93.32%
SAB,CTCP Thương mại Bia Sài Gòn miền Trung,91.24%
VTR,CTCP Xuất nhập khẩu và Phát triển Văn Hóa - CDIMEX,72.64%
VTR,Công ty Vietravel Australia Pty Ltd,70%
VTR,CTCP Dịch vụ Vận chuyển Thế Giới,60%
VTR,CTCP Du lịch và Thương mại Đầu tư Đảo Ngọc Bích,51%
DXG,CTCP Địa ốc Viethomes,51%
DXG,CTCP Dịch vụ và Địa ốc Vinahomes,51%
DXG,CTCP Bất động sản Unihomes,51%
PLX,Công ty Cổ phần Cơ khí Xăng dầu,
PLX,Công ty cổ phần Tin học Viễn thông Petrolimex,
PLX,Công ty Xăng dầu Hà Giang,
VIC,Công ty TNHH Vingroup Nhật Bản,80%
VIC,Công ty TNHH Sản xuất và Kinh doanh Phần mềm HMS,80%
VIC,Công ty TNHH Dịch vụ An ninh mạng VINCSS,80%
SAB,CTCP Thương mại Bia Sài Gòn Miền Đông,90.68%
SAB,CTCP Thương mại Bia Sài Gòn Đông Bắc,90.14%
SAB,CTCP Thương Mại Bia Sài Gòn Nam Trung Bộ,90.13%
SAB,CTCP Thương mại Bia Sài Gòn Tây Nguyên,90.01%
ACV,CTCP Dịch vụ nhiên liệu hàng không Nội Bài (NAFSC),60%
ACV,Công ty TNHH dịch vụ bảo dưỡng máy bay Cảng hàng không Miền Nam,51%
DXG,CTCP Dịch vụ và Đầu tư Bất động sản Kinh Bắc,51%
DXG,CTCP Dịch vụ và Đầu tư Phát triển Nhà Đông Nam Bộ,51%
DXG,CTCP Dịch vụ và Đầu tư Địa ốc Bình Thuận,51%
DXG,CTCP Bất Động Sản Bắc Miền Tây,51%
VIC,CTCP Phát Triển Công nghệ VinTech,80%
VIC,Công ty TNHH Vinpearl Travel Ru,80%
VIC,CTCP Hàng Không Vinpearl Air,79.97%
SAB,CTCP Thương mại Bia Sài Gòn Sông Hậu,90%
SAB,CTCP Thương mại Bia Sài Gòn Sông Tiền,90%
SAB,CTCP Bao bì Bia Sài Gòn,76.81%
SAB,CTCP Bia Sài Gòn - Sông Lam,68.78%
SAB,Công ty cổ phần Bia Sài Gòn - Quảng Ngãi,66.56%
SGT,CTCP Đầu tư Kinh Bắc,89%
SGT,CTCP Phân phối và Dịch vụ Saigontel,70%
SGT,CTCP Đầu tư Bất động sản SAIGONTEL,65%
DXG,CTCP Dịch vụ Bất Động Sản Nam Miền Tây,51%
DXG,CTCP Bất động sản Unihomes Miền Nam,51%
DXG,CTCP Bất động sản Unihomes Nam Sài Gòn,51%
DXG,CTCP BĐS Linkhouse Miền Trung,51%
VIC,CTCP VINDFS,79.97%
VIC,CTCP Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,78.41%
SAB,Công ty Cổ phần Nước giải khát Chương Dương,61.9%
SAB,Công ty cổ phần Bia Sài Gòn - Nghệ Tĩnh,54.73%
SAB,CTCP Bia Sài Gòn - Hà Nội,52.11%
SAB,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",51.23%
DXG,CTCP Đầu tư Bất động sản Linkhouse,51%
DXG,CTCP Bất động sản Linkhouse Tây Nam,51%
DXG,CTCP Công nghệ Cocome,50%
VIC,CTCP Kinh doanh và Phát triển thương mại An Thịnh,77.58%
VIC,CTCP Phát triển Thành Phố Xanh,75.24%
SAB,Công ty Cổ phần Bia Sài Gòn - Miền Tây,51%
SAB,Công ty TNHH Một Thành Viên Bia Sài Gòn Sóc Trăng,51%
VIC,CTCP Đầu tư Xây dựng Thái Sơn,75.23%
VIC,Công ty CP Đầu tư và Phát triển Làng Vân,74.28%
VIC,CTCP Đầu tư và Phát triển Sinh Thái,73.83%
VIC,Công ty CP Đô thị Du lịch Cần Giờ,73.79%
VIC,CTCP Delta,73.73%
MSN,CTCP Tầm nhìn Ma San,99.9%
MSN,Công ty TNHH MasanConsumerHoldings,85.7%
MSN,CTCP Masan Nutri-Science,80.8%
SCB,Công ty TNHH MTV Quản lý nợ và khai thác tài sản Ngân hàng TMCP Sài Gòn,100%
VIC,Công ty TNHH Metropolis Hà Nội,73.66%
VIC,Công ty TNHH Đô thị Đại học Quốc tế Berjaya Việt Nam,73.66%
VIC,Công Ty TNHH Thương mại Đầu tư và Phát triển Thiên Niên Kỷ,73.66%
HDB,Công ty TNHH MTV Quản lý nợ & Khai thác tài sản-Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,100%
HDB,Công ty Tài chính TNHH HD SAISON,50%
VBB,Công ty TNHH MTV Quản lý nợ và khai thác tài sản-Ngân hàng TMCP Việt Nam Thương Tín (VietBankAMC),100%
VIC,CTCP Phát triển GS Củ Chi,73.59%
VIC,Công ty TNHH Kinh doanh Bất động sản Phú Gia,72.36%
VIC,Công ty TNHH Xalivico,71.21%
VIC,CTCP Đầu tư Kinh doanh Bất động sản Thăng Long,70.37%
VIC,Công ty TNHH Làng Hoa Thụy Khuê,69.96%
OCB,Công ty TNHH MTV Chuyển tiền quốc tế Ngân hàng Phương Đông,100%
VIC,Công ty cổ phần Vinhomes,66.66%
VIC,Công ty TNHH Bất động sản Tây Tăng Long,66.29%
VIC,CTCP Sách Việt Nam,65.33%
VIC,Công Ty TNHH Đầu Tư Và Phát Triển Đô Thị Gia Lâm,62.76%
VIC,CTCP Nghiên cứu và Sản xuất Vinsmart,62.03%
VIC,Vingroup Global Pte. Ltd.,62.03%
VIC,CTCP VinID Pay,60.97%
DPM,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,75%
DPM,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,75%
DPM,Công ty cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,75%
DPM,Công ty cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,75%
VIC,CTCP VINFA,59.39%
VIC,CTCP Vincom Retail,56.86%
VIC,Công ty TNHH Vincom Retail Miền Nam,56.86%
VIC,Công ty TNHH Vincom Retail Miền Bắc,56.86%
PVD,Công ty TNHH MTV Địa Vật lý Giếng khoan Dầu khí (PVD Logging),100%
PVD,Công ty TNHH MTV Dịch vụ Giếng khoan Dầu khí (PVD Well Services),100%
PVD,Công ty TNHH MTV Dịch vụ Kỹ thuật Dầu khí Biển (PVD Offshore),100%
VIC,CTCP Đầu tư Bất động sản Hà Thành,56.86%
VIC,CTCP Đầu tư và Phát triển Đô thị Suối Hoa,55.31%
PVD,CTCP Thương mại Dịch vụ Kỹ thuật Khoan Dầu khí PVD (PVD Tech),100%
PVD,Công ty TNHH MTV Khoan Dầu khí nước sâu (PVD Deepwater),100%
PVD,Công ty Liên doanh PV Drilling Overseas,55%
PVD,CTCP Đào tạo Kỹ thuật PVD (PVD Training),52%
LTG,Công ty TNHH Bảo vệ thực vật An Giang - Campuchia,100%
LTG,Công ty TNHH MTV Lương thực Vĩnh Bình,100%
LTG,Công ty TNHH MTV Lương thực Thoại Sơn,100%
LTG,Công ty TNHH MTV Lương thực Tân Hồng,100%
LTG,Công ty TNHH MTV Lương thực Vĩnh Hưng,100%
VIC,Công ty CP Tư vấn Đầu tư và đầu tư Việt Nam,51.76%
VIC,CTCP OneID,51.22%
LTG,Công ty TNHH MTV Lương thực Vĩnh Lộc,100%
LTG,Công ty TNHH MTV Lương thực Vĩnh An,100%
LTG,Công ty TNHH MTV Phân hữu cơ Ân Thịnh Điền,100%
LTG,Công ty TNHH MTV Cà phê Hương Vị Trời,100%
LTG,Công ty TNHH Nghiên cứu và sản xuất giống ứng dụng công nghệ cao Hưng Thịnh,76.51%
LTG,Công ty TNHH Trích ly dầu cám Vĩnh Hòa,60%
LTG,CTCP Lộc Trời - Viên Thị,51%
LTG,Công ty CP Địa ốc An Giang,50.44%
DIG,CTCP Đầu tư Phát triển Xây dựng Hà Nam,100%
DIG,Công ty TNHH Du lịch DIC,99.9%
DIG,CTCP Thủy cung DIG,95%
DIG,Công ty cổ phần Đầu tư Phát triển Xây dựng số 1,51.67%
VIC,CTCP One Mount Group,51.22%
VIC,CTCP Phát triển Thương mại Dịch vụ Adayroi,51.22%
DBC,Công ty TNHH Dầu thực vật Dabaco,
DBC,Công ty TNHH Dabaco Bình Phước,
DBC,Công ty TNHH Lợn giống Hạt nhân DABACO,
DBC,Công ty TNHH MTV Lợn giống Lạc Vệ,
DBC,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,
DBC,Công ty TNHH Đầu tư phát triển chăn nuôi lợn Dabaco,
VIC,Công ty TNHH Sản Xuất và Kinh Doanh Vinfast,51.15%
DBC,Công ty TNHH DABACO Tuyên Quang,
DBC,Công ty TNHH lợn giống DABACO Lương Tài,
DBC,Công ty TNHH Lợn giống DABACO Hà Tĩnh,
DBC,Công ty TNHH lợn giống DABACO Hải Phòng,
DBC,Công ty TNHH Lợn giống Dabaco Hà Nam,
DBC,Công ty TNHH lợn giống Dabaco Phú Thọ,
DBC,Công ty TNHH MTV Gà giống DABACO,
DBC,Công ty TNHH MTV Thương mại Hiệp Quang,
DBC,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,
DHC,Công ty TNHH MTV Bao Bì Bến Tre,100%
VIC,Công ty TNHH Kinh doanh thương mại và Dịch vụ Vinfast,51.15%
VIC,Vinfast Engineering Australia Pty Ltd,51.15%
DBC,Công ty TNHH Chế biến thực phẩm DABACO,
DBC,Công ty TNHH Nông nghiệp Công nghệ cao DABACO,
DBC,Công ty TNHH Đầu tư Xây dựng và Phát triển hạ tầng Dabaco,
PTB,Công ty TNHH MTV Toyota Đà Nẵng,100%
PTB,Công ty TNHH MTV Toyota Bình Định,100%
PTB,Công ty TNHH MTV Bất động sản Phú Tài,100%
PTB,Công ty TNHH Đá Granite Thành Châu Phú Yên,100%
PTB,Công ty TNHH MTV Tuấn Đạt,100%
PTB,Công ty TNHH MTV Phú Tài Đồng Nai,100%
PTB,CTCP Vina G7,75%
PTB,Công ty SX Đá Granit TNHH,70%
PTB,CTCP Đá Universal,60%
PTB,CTCP Vật liệu Xây dựng Phú Yên,50.65%
PHR,Công ty TNHH Phước Hòa Kampongthom,100%
PHR,Công ty TNHH cao su Phước Hòa Đắk Lắk,93%
PHR,CTCP Khu công nghiệp Tân Bình,80%
PHR,CTCP Cao su Trường Phát,70%
ACG,Công ty TNHH Malloca Việt Nam,100%
ACG,Công ty TNHH Sản xuất Gỗ An Cường,100%
ACG,Công ty TNHH Aconcept Việt Nam,100%
VIC,Vinfast Germany GmbH,51.15%
VIC,Công ty TNHH Trung tâm Tài chính Việt Nam Berjaya,50.78%
VIC,CTCP Vinfast Leasing,50.64%
VIC,"Iot & Mobility Y Commerce, S.L.",40.8%
VIC,Mundo Reader S.L,40.8%
VIC,Luarna Ediciones S.L.,40.8%
VIC,"Deep Technology & Engineering Services, S.L.",40.8%
VIC,"Contact Services For Satisfaction, S.L.",40.8%
BWE,CTCP Tái chế Vật liệu xanh,95.8%
BWE,CTCP Xây lắp - Điện Biwase,60%
IJC,Công ty TNHH MTV Thương mại Becamex,100%
IJC,Công ty TNHH MTV Khách sạn Becamex,100%
VIC,Educación Y Robótica S.L.,40.8%
VIC,3D Printing & Printers,40.8%
VIC,"BQ-Mundo Rader, Unipessoal Lda",40.8%
NKG,Công ty TNHH MTV Ống Thép Nam Kim,100%
NKG,Công ty TNHH MTV Ống Thép Nam Kim Chu Lai,
VIC,Mundo Reader France S.A.R.L,40.8%
VIC,Mundo Reader GmbH,40.8%
BCM,CTCP Bệnh viện Đa khoa Quốc tế Becamex,85%
BCM,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật ,79.8%
BCM,CTCP Bệnh viện Mỹ Phước,65.47%
BCM,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,60.7%
BCM,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,51.82%
VIC,Mundo Reader S.R.L.,40.8%
VIC,Smart European Devices Limited,40.8%
BCM,Đại học Quốc tế miền Đông,51%
BCM,Công ty Cổ phần Phát triển Đô thị,51%
BCM,CTCP Phát triển Giáo dục miền Đông,50%
BCM,CTCP Phát triển Đô thị và Khu công nghiệp Việt Nam-Singapore (VSIP JSC),49%
BCM,CTCP Công nghệ & Truyền thông Việt Nam (VNTT),48.59%
VIC,Xibantronics Trading Company Ltd.,40.8%
VIC,Fundación Para La Educación Y El Desarrollo Tecnológico,40.8%
BCM,CTCP Cấp thoát nước - Môi trường Bình Dương,41%
BCM,CTCP Setia-Becamex,40%
BCM,CTCP Becamex Bình Phước,40%
BCM,CTCP Dược phẩm SaVi,35.19%
BCM,Công ty TNHH Becamex Tokyu,35%
BCM,Công ty cổ phần Dược Becamex,34.33%
BCM,CTCP Phát triển Công nghiệp BW,30%
BCM,CTCP Bảo hiểm Hùng Vương,20%
BCM,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,
VIC,"Inteligencia Operacional Para La Ingeniería, S.L.",40.48%
VIC,Công ty TNHH Dịch vụ và Kinh doanh Vinfast,33.52%
VIC,Marcha Technology S.L.,24.48%
TLP,Công ty TNHH Công trình đô thị Bình Dương,100%
TLP,Công ty TNHH Đăng kiểm xe cơ giới 61 - 05D,100%
TLP,Công ty TNHH Xăng dầu Bình Dương,80%
TLP,Công ty TNHH Vận tải Thủy bộ Bình Dương,57.97%
TLP,CTCP SXKD Thanh Lễ,56.84%
TLP,Công ty Cổ phần Nông Lâm Nghiệp Bình Dương,35.02%
MPC,Công ty TNHH MTV Sản xuất Chế phẩm Sinh học Minh Phú,100%
MPC,Công ty TNHH Nuôi trồng Thủy sản Minh Phú - Lộc An,100%
MPC,Công ty TNHH MTV Chuỗi Cung ứng Thuỷ Sản Minh Phú,100%
MPC,Công ty TNHH Kho vận EBISUMO,100%
MPC,Công ty TNHH Thực phẩm Minh Phú,100%
MPC,Công ty TNHH Thủy hải sản Minh Phú - Kiên Giang,99.1%
MPC,Công ty TNHH Sản xuất giống thủy sản Minh Phú,98.5%
MPC,Công ty TNHH Chế biến Thủy sản Minh Phát,95%
MPC,Mseafood Corporation (USA),90%
MPC,CTCP Cảng Minh Phú Hậu Giang,83.72%
MPC,CTCP Thủy sản Minh Phú - Hậu Giang,67.5%
MPC,Công ty Cổ phần Nông nghiệp Công nghệ cao Minh Phú,60%
SDG,CTCP Xi măng Tây Đô,51.06%
HAM,Công ty TNHH MTV Thương mại Dịch vụ HAMACO,100%
HAM,Công ty TNHH MTV Thiên An,100%
HAM,Công ty TNHH MTV HAMACO Vị Thanh,100%
HAM,CTCP Bê tông HAMACO,60%
TLH,Công ty TNHH MTV Thép Phúc Tiến,100%
TLH,Công ty TNHH Sản xuất và thương mại Phúc Tiến Hưng Yên,100%
TLH,Công ty TNHH Thép Tây Nguyên,97.35%
TLH,Công ty TNHH Sản xuất và Thương mại Đại Phúc,95.83%
TLH,CTCP Thép Bắc Nam,48%
TID,Công ty cổ phần Tín Nghĩa Lào,100%
TID,Công ty TNHH Đầu tư Khu Công nghiêp Tín Nghĩa,100%
TID,Công ty cổ phần Logistics Tín Nghĩa - ICD Biên Hòa,91.27%
TID,CTCP Dịch vụ Bảo vệ chuyên nghiệp Tín Nghĩa,86.13%
TID,Công ty cổ phần KCN Tín Nghĩa - Phương Đông,80%
TID,Công ty cổ phần Thương mại và Xây dựng Phước Tân,62.7%
TID,Công ty Cổ phần Phát triển Doanh nghiệp nhỏ và vừa Nhật Bản,59.7%
TID,Công ty cổ phần Xăng dầu Tín Nghĩa,58.98%
TID,CTCP chế biến xuất nhập khẩu Nông Sản Đồng Nai,54%
TID,CTCP Đầu tư Nhơn Trạch,51.76%
TID,CTCP Đầu tư Tín Nghĩa Á Châu,51%
TID,Công ty cổ phần Phát triển Khu Công nghiệp Tín Nghĩa,22.7%
SNZ,Công ty Cổ phần Môi trường Sonadezi,64.04%
SNZ,Công ty cổ phần Cấp nước Đồng Nai,53.33%
SNZ,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,52.29%
SNZ,Công ty cổ phần Sonadezi Long Thành,51.19%
SNZ,CTCP Sonadezi Giang Điền,51%
SNZ,Công ty Cổ phần Cảng Đồng Nai,34%
SNZ,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,20.37%
DNP,Công ty Cổ phần CMC,"51,139.99%"
DNP,CTCP Đầu tư Hạ tầng nước DNP - Bắc Giang,99.99%
DNP,CTCP Nhựa Đồng Nai Miền Trung,99.33%
DNP,CTCP Công trình Đô thị Châu Thành,90.28%
DNP,CTCP Sản xuất Kinh doanh Nước sạch số 3 Hà Nội,86.36%
DNP,Công ty Cổ phần Đầu tư hạ tầng nước DNP – Long An,86.16%
DNP,CTCP Đầu tư Ngành nước DNP,74.99%
DNP,Công ty Cổ phần Bình Hiệp,70.77%
DNP,CTCP Đầu tư hạ tầng nước DNP - Tiền Giang,70%
DNP,Công ty Cổ phần Cấp thoát nước Tây Ninh,59.41%
DNP,CTCP Cấp thoát nước Bình Thuận,57.26%
DNP,CTCP Nhà máy nước Đồng Tâm,52.68%
DNP,Công ty Cổ phần Tân Phú Việt Nam,51.01%
VHC,Công ty TNHH MTV Vĩnh Hoàn Collagen,100%
VHC,Công ty TNHH MTV Thanh Bình Đồng Tháp,100%
VHC,Công ty TNHH MTV Thực phẩm Vĩnh Phước,100%
VHC,Công ty TNHH Lương thực Vĩnh Hoàn 2,99.3%
VHC,Công ty Cổ phần Xuất nhập khẩu Sa Giang ,76.72%
VHC,Công ty TNHH MTV Vĩnh Hoàn 4,
EVG,CTCP Phát triển Y học An Việt,98%
EVG,CTCP CRYSTAL HOLIDAYS,89.4%
EVG,CTCP EVERLAND VÂN ĐỒN,60%
EVG,CTCP EVERLAND PHÚ YÊN,60%
INN,Công tyTNHH MTV công nghệ chống giả DAC,100%
CRE,CT TNHH TMĐT Ngôi Nhà Thế Kỷ,100%
CRE,CT TNHH Đầu tư và Quản lý thương hiệu Cen,100%
CRE,CT TNHH Cen CUCKOO,100%
CRE,CTCP Bất động sản Cen Sài Gòn,80%
CRE,CTCP Truyền thông và Giải trí Ngôi Sao Mới,80%
CRE,CTCP Cen Academy,56%
CRE,CTCP M&I THẾ KỶ,51%
SRC,Công ty TNHH Sao Vàng Hoành Sơn,26%
SHN,Công ty TNHH Xuất nhập khẩu Hàng hóa Việt Nam,100%
SHN,CTCP Quản lý đường sông số 6,69.19%
SHN,CTCP Ngôi sao An Bình (ABSC),54.55%
VC2,Công ty TNHH Đầu tư và Dịch vụ Đô thị VC2,100%
VC2,CTCP Xây lắp điện nước và Phòng cháy chữa cháy Vinaconex2,68.25%
VPI,Công ty TNHH MTV Đầu Tư Văn Phú - Giảng Võ,100%
VPI,Công ty TNHH Văn Phú CGM,100%
VPI,Công ty TNHH Đầu tư Văn Phú Resort Lộc Bình,100%
VPI,Công ty Cổ phần Đầu Tư Văn Phú Số 2,78.5%
VPI,CTCP Văn Phú Homes,70%
VPI,Công ty Cổ phần Đầu Tư Văn Phú Số 1,67%
XMC,Công ty cổ phần Xuân Mai - Đạo Tú ,86.39%
XMC,Công ty CP Xây lắp Vinaconex Xuân Mai,83.53%
XMC,Công ty CP Bê tông Vinaconex Phan Vũ,82.23%
XMC,CTCP Cơ giới vận tải Vinaconex Xuân Mai,77.78%
XMC,Công ty CP Tư vấn Thiết kế Vinaconex Xuân Mai,68.23%
XMC,CTCP Đầu tư và Xây dựng số 45,60.55%
XMC,CTCP Vinaconex Xuân Mai Đà Nẵng,51%
ITS,Công ty TNHH MTV Itasco Hải Phòng,100%
ITS,Công ty TNHH MTV Kinh doanh Xuất nhập khẩu than Itasco,100%
VPI,Công ty TNHH Đầu tư Văn Phú - Phạm Hùng,65%
VPI,CTCP Kinh doanh và Quản lý khách sạn Lilas,60%
VPI,Công ty Cổ phần Văn Phú - Bắc Ái,60%
VPI,Công ty TNHH BT Hà Đông,50%
FCN,CTCP Năng Lượng FECON,99.99%
FCN,CTCP thi công cọc FECON số 1,99.89%
FCN,CTCP Xử lý nền và Xây dựng FECON,99.56%
FCN,CTCP FECON SOUTH,98.24%
FCN,CTCP Hạ tầng và Phát triển đô thị FECON,87.47%
FCN,CTCP Thiết bị FECON,86.14%
FCN,CTCP Nông nghiệp hữu cơ Đông Khê,78.95%
FCN,Trường THPT Ý Yên,72.9%
FCN,Công ty khoáng sản Hải Đăng,64%
FCN,FECON RAINBOW FOUNDATION CONSTRUCTION CO LTD,60%
FCN,CTCP Công trình ngầm Fecon,55.78%
FCN,CTCP FECON Miltec,50.29%
VJC,VIETJET AIR IVB No.I LIMITED,100%
VJC,VIETJET AIR IVB No.II LIMITED,100%
VJC,"VIETJET AIR SINGAPORE PTE., LTD",100%
VJC,VIETJET AIR IRELAND No.I LIMITED,100%
VJC,SKYMATE LIMITED,100%
VJC,Công ty Cổ phần VietJetAir Cargo,90%
LIG,Công ty TNHH MTV điện mặt trời Quảng Trị,100%
LIG,Công ty TNHH MTV Trường trung cấp nghề công trình 1,100%
LIG,CTCP Licogi 13 - Đầu tư xây dựng và hạ tầng,94%
LIG,Công ty Cổ phần LIG Hướng Hóa 1,90%
LIG,Công ty Cổ phần LIG Hướng Hóa 2,90%
PVI,CTCP Quản lý Quỹ PVI,89%
LIG,CTCP Năng lượng Dầu khí Toàn Cầu,87.1%
LIG,CTCP Sông Nhiệm 3,64%
LIG,CTCP Licogi 13 - Cơ giới hạ tầng IMC,62.8%
LIG,CTCP LICOGI13 - Vật liệu xây dựng CMC,61.65%
LIG,Công ty cổ phần Địa ốc Xanh Sài Gòn Thuận Phước,61.5%
LIG,Công ty cổ phần Đầu tư Nông nghiệp Sài Gòn Thành Đạt,52%
LIG,CTCP LICOGI13- Nền móng Xây dựng FC,51%
SHI,Công ty TNHH MTV Sơn Hà SSP Việt Nam,100%
SHI,Công ty TNHH MTV Sơn Hà Nghệ An,100%
SHI,Công ty TNHH MTV Thiết bị Gia dụng  Sơn Hà Bắc Ninh,100%
SHI,Công ty TNHH MTV Kinh doanh và Phát triển Dịch vụ Sơn Hà Miền Bắc,100%
SHI,CTY TNHH MTV TOÀN MỸ MIỀN TRUNG,100%
SHI,CÔNG TY TNHH QUẢN LÝ VẬN HÀNH VÀ KINH DOANH NƯỚC SẠCH  SƠN HÀ,100%
SHI,Công ty TNHH MTV Thiết bị Nhà bếp Sơn Hà,95%
SHI,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI SƠN HÀ FREE SOLAR,90%
SHI,CÔNG TY CỔ PHẦN TỔNG CÔNG TY TOÀN MỸ (TMY),74.34%
SHI,CTCP Kinh doanh và Phát triển dự án Sơn Hà,69%
SHI,CÔNG TY CP CÔNG NGHỆ XỬ LÝ NƯỚC VÀ MÔI TRƯỜNG SƠN HÀ,60%
SHI,CTCP Sản xuất và Dịch vụ Sơn Hà,51%
SHI,Công ty cổ phần Cấp thoát Nước Lạng Sơn,51%
SHI,Công ty Cổ phần Phát triển năng lượng Sơn Hà,50.38%
SHI,Sonha Myanmar International Limited,45%
SHI,CÔNG TY CỔ  PHẦN  HANSSEM,30%
S99,Công ty TNHH SCI Điện Biên,99.94%
S99,Công ty TNHH SCI Lai Châu,98.98%
S99,Công ty TNHH SCI Nghệ An,79.54%
S99,CTCP Tư vấn SCI,65%
S99,Công ty Cổ phần SCI E&C,51%
CEO,Công ty TNHH C.E.O Quốc tế (CEO Quốc tế),100%
CEO,Trường Cao đẳng Đại Việt,100%
CEO,Công ty TNHH C.E.O Hospitality (CEO Hospitality),100%
CEO,Công ty TNHH MTV Tư vấn thiết kế C.E.O (CEO Design),100%
CEO,Công ty Cổ phần Phát triển Quảng Bình (CEO Quảng Bình),99%
CEO,Công ty Cổ phần Đầu tư và Phát triển Nha Trang (CEO Nha Trang),99%
