mck_cong_ty_HO,ten_cong_ty_con,ti_le_so_huu
CEO,Công ty Cổ phần Đầu tư và Phát triển du lịch Vân Đồn (CEO Vân Đồn),90%
CEO,Công ty Cổ phần Đầu tư và Phát triển Phú Quốc (CEO Phú Quốc),60%
CEO,Công ty Cổ phần Phát triển nhà và đô thị Phú Quốc (CEO Đảo Ngọc),51.58%
CEO,Công ty Cổ phần Xây dựng C.E.O (CEO Xây dựng),51%
CEO,Công ty Cổ phần Phát triển Dịch vụ C.E.O (CEO Dịch vụ),51%
CEO,Công ty Cổ phần Du lịch C.E.O (CEO Travel),51%
C4G,Công ty cổ phần Green Tea Islands,100%
C4G,Công ty cổ phần Đầu tư CIENCO4 Land,68.88%
CMG,Công ty TNHH Tổng Công ty Công nghệ và Giải pháp CMC,100%
CMG,Công ty TNHH Công nghệ và Giải pháp CMC Sài Gòn,100%
CMG,Công ty TNHH Sản xuất và Dịch vụ CMC,100%
CMG,Viện Nghiên cứu và Ứng dụng Công nghệ CMC,100%
CMG,Công ty TNHH CMC Đà Nẵng,100%
CMG,Công ty Cổ phần CMC Japan,100%
CMG,Công ty TNHH CMC Châu Á Thái Bình Dương,100%
CMG,Công ty TNHH CMC Global,100%
CMG,Công ty TNHH Sản xuất và Thương mại CMC,100%
CMG,Công ty TNHH An ninh An toàn Thông tin CMC,100%
CMG,CTCP Hạ tầng Viễn thông CMC,54.63%
CMG,CTCP Liên doanh CMC Ciber (CMC Ciber),51%
OGC,CTCP Đầu tư Đại Dương Thăng Long,94%
OGC,CTCP Phát triển Tài nguyên thiên nhiên Đại Dương,69%
OGC,Công ty Cổ phần Khách sạn và Dịch vụ OCH,59.85%
OGC,Công ty CP Fafim Việt Nam,50.94%
DPG,Công ty TNHH MTV Đạt Phương Sài Gòn,100%
DPG,CTCP Đạt Phương Hội An,80%
DPG,CTCP Xây dựng Đạt Phương số 1,70%
DPG,Công ty cổ phần 30-4 Quảng Ngãi,68.3%
DPG,Công ty cổ phần Sông Bung,61.32%
FIT,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,100%
FIT,CTCP Đầu tư Bất động sản FIT,99.69%
FIT,Công ty Cổ phần Dược phẩm Cửu Long,58.05%
FIT,Công ty Cổ phần Vật tư kỹ thuật Nông nghiệp Cần Thơ,41.07%
GEX,CTCP Thiết bị điện GELEX,100%
GEX,CTCP Hạ tầng GELEX,100%
GEX,Tổng Công ty Viglacera - CTCP,24.95%
DAG,Công ty TNHH Nhựa Đông Á,100%
DAG,Công ty TNHH Smartwindow Việt Nam,100%
DAG,Công ty TNHH Một thành viên Nhựa Đông Á,100%
FLC,Công ty TNHH MTV Quản lý khách sạn và Khu nghỉ dưỡng FLC,100%
FLC,Công ty TNHH FLC Quảng Bình Golf & Resort,100%
FLC,Công ty TNHH Đầu tư phát triển và Quản lý khu công nghiệp FLC,100%
FLC,Công ty TNHH Vàng bạc đá quý FLC,100%
FLC,Công ty TNHH Đầu tư và Phát triển FLC Hạ Long,100%
FLC,Công ty TNHH BOT Khai thác quản lý bãi biển FLC Sầm Sơn,100%
HDG,Công ty Đầu tư Quốc tế Hà Đô,100%
HDG,Công ty TNHH MTV Quản lý- Vận hành- Khai thác BĐS Hà Đô,100%
HDG,CTCP đầu tư Bất động sản Bình An Riverside,99%
HDG,CTCP Hà Đô Bình Thuận,76%
HDG,CTCP Hà Đô Ninh Thuận,75%
HDG,Công ty CP Đầu tư Khánh Hà,65%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Đại Mỗ,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Miền Nam,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Hoàng Mai,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Mỹ Đình,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Miền Bắc,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Từ Liêm,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Hà Đông,100%
THD,Công ty TNHH MTV Thaiholdings Hà Nam,100%
THD,Công ty TNHH đầu tư và phát triển THD,88%
FLC,Công ty TNHH FLC Sam Sơn Golf & Resort,100%
FLC,CTCP FLC Quy Nhơn Golf & Resort,100%
FLC,CTCP FLC Land,100%
FLC,Công ty TNHH FLC Đồ Sơn Golf & Resort,100%
FLC,Công ty CP Địa ốc Star Hà Nội,99.4%
FLC,CTCP Nước giải khát FLC,99%
HDG,Công ty Cổ phần Hà Đô - 756 Sài Gòn,63%
HDG,Công ty TNHH Hỗn hợp Dịch Vọng,50%
HDG,Công ty Cổ phần Thiết bị giáo dục 1,35%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Hà Nội,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 – Nàng Hương,100%
PC1,Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,100%
PC1,CTCP Thủy điện Trung Thu,100%
PC1,CTCP Thương mại đầu tư Tiến Bộ,99.77%
PC1,CTCP đầu tư Địa ốc Mỹ Đình,99.39%
PC1,Công ty CP Cơ khí ô tô Hòa Bình,99.34%
PC1,CTCP thủy điện Bảo Lâm,91.83%
PC1,CTCP Đầu tư Năng lượng Miền Bắc,90%
PC1,Công ty TNHH Chế tạo cột thép Đông Anh,90%
PC1,CTCP Lắp máy công nghiệp Việt Nam,51%
TRA,Công ty TNHH MTV Traphaco Sapa,100%
TRA,Công ty TNHH MTV Traphaco Hưng Yên,100%
TRA,Công ty Cổ phần Dược - Vật tư Y tế Đăk Lăk,58.21%
TRA,Công ty cổ phần Công nghệ cao Traphaco,50.97%
PAN,CTCP Thực phẩm PAN (PAN Food),99.99%
PAN,CTCP Phân phối hàng tiêu dùng PAN (PAN CG),99.99%
PAN,CTCP Chế biến thực phẩm PAN (PFM),99.96%
PAN,Công ty Cổ phần Bibica,98.3%
PAN,Công ty cổ phần PAN FARM,81.92%
PAN,Công ty Cổ phần Chế biến Hàng xuất khẩu Long An,80.52%
PAN,CTCP Cà phê Golden Beans (Goldens Bean),79.6%
PAN,CTCP Thủy sản 584 Nha Trang,73.45%
PAN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,62.6%
PAN,CTCP PAN-HULIC (PAN-HULIC),51%
FLC,Công ty TNHH Đầu tư và Quản lý toà nhà Ion Complex,98.91%
FLC,CTCP Du lịch và Sự kiện FLC,98%
FLC,CTCP Đầu tư Địa ốc Alaska,93.5%
FLC,Công ty TNHH Hàng không Tre Việt,51.2%
PAN,Công ty Cổ phần Thực phẩm Sao Ta ,32.83%
PAN,Công ty cổ phần Tập đoàn Giống cây trồng Việt Nam,
HAH,Công ty TNHH Cảng Hải An,100%
HAH,Công ty TNHH Pan Hải An,51%
HAH,Công ty TNHH Vận tải Container Hải An,50.5%
VRE,Công ty TNHH Vincom Retail Miền Bắc,100%
VRE,Công ty TNHH Vincom Retail Miền Nam,100%
VRE,CTCP Đầu tư và Phát triển Đô thị Suối Hoa,97.27%
ROS,Công ty TNHH Đầu tư và Phát triển FLC Faros Vân Đồn,100%
ROS,Công ty TNHH Đầu tư và Phát triển Eden Garden,100%
ROS,Công ty TNHH Đầu tư và Phát triển Bright Future,100%
ROS,Công ty TNHH Đầu tư và Phát triển Golden Choice,100%
ROS,Công ty TNHH Đầu tư tài chính và Quản lý tài sản RTS,100%
ROS,CTCP Đầu tư & Phát triển Vườn thú Faros,90%
PHC,CTCP Phú Lâm,80%
PHC,CTCP Nhà Mỹ Xuân Hà Nội,79%
PHC,CTCP Đầu tư xây dựng Phục Hưng số 3,55%
PHC,CTCP Đầu tư xây dựng Phục Hưng số 7,40%
PVF,CTCP Du lịch biển Mỹ Khê,99.95%
PVF,Công ty Cổ phần Quản lý quỹ Đầu tư Tài chính Dầu khí,51%
G36,Công ty TNHH BOT 36.71,100%
G36,Công ty Cổ phần 36.62,60%
G36,Công ty TNHH 36.Home,55%
G36,Công ty Cổ phần 36.66,55%
G36,Công ty cổ phần 36.68,55%
BHN,CTCP TNHH MTV Thương mại Habeco,100%
BHN,CTCP Bia Hà Nội - Quảng Tri,98.56%
BHN,CTCP Đầu tư phát triển công nghệ Bia rượu Nước giải khát Hà Nội,96.1%
BHN,CTCP Bao bì Bia rượu Nước giải khát,68.95%
BHN,Công ty Cổ phần Bia Hà Nội - Thái Bình,66.31%
BHN,CTCP Bia Hà Nội - Hải Phòng,65.01%
BHN,Công ty Cổ phần Bia Hà Nội - Quảng Bình,62.05%
BHN,Công ty Cổ phần Thương mại Bia Hà Nội,60%
BHN,Công ty cổ phần Bia Hà Nội - Thanh Hóa,55%
BHN,Công ty Cổ phần Bia Hà Nội - Hải Dương,55%
BHN,Công ty cổ phần Rượu và Nước giải khát Hà Nội,54.29%
BHN,CTCP Bia Hà Nội - Hồng Hà,53.89%
BHN,CTCP Bia Thương mại Hà Nội - Quảng Ninh,52.64%
BHN,CTCP Bia Hà Nội - Nghệ An,51%
BHN,Công ty Cổ phần Bia Hà Nội - Nam Định,51%
BHN,Công ty Cổ phần Habeco - Hải Phòng,14.06%
VCG,Công ty Cổ Phần Xây dựng số 4,100%
VCG,Công ty TNHH MTV Giáo dục Lý Thái Tổ,100%
VCG,Công ty TNHH Bohemia,100%
VCG,CTCP Bất động sản Vinaconex,100%
VCG,CTCP Bách Thiên Lộc,99.99%
VCG,Công ty Cổ phần Vinaconex Dung Quất,95.51%
VCG,Công ty Cổ phần Xây dựng số 1,89.41%
VCG,CTCP Xây dựng số 17,82.09%
VCG,Công Ty Cổ Phần Vinaconex Sài Gòn,76.25%
VCG,CTCP Xây dựng Vinaconex Đà Nẵng,73.59%
VCG,Công ty Cổ phần Vinaconex 25,66.33%
VCG,Công Ty Cổ Phần Vinaconex 27,57.33%
VCG,CTCP Xây dựng và Xuất nhập khẩu Quyết Thắng,56%
VCG,CTCP Phát triển Thương mại VINACONEX,55%
VCG,Công ty CP Xây dựng Vinaconex số 16,51.93%
MGG,Công ty TNHH May Đức Giang,100%
VCG,Công ty Cổ phần Vimeco,51.41%
VCG,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex,51%
VCG,Công ty cổ phần VINACONSULT,51%
VCG,CTCP Đầu tư Xây dựng và Kinh doanh nước sạch VIWACO,51%
DVN,Công ty CP Dược phẩm Trung ương Codupha,66.35%
DVN,Công ty CP Dược phẩm Trung ương CPCI,65.41%
DVN,CTCP Dược Trung ương 3,65%
VCG,CTCP Siêu thị và Xuất nhập khẩu Thương mại Việt Nam,51%
VCG,Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,49.1%
VCG,Công ty Cổ phần Nhân lực và Thương mại Vinaconex,44.2%
VCG,Công ty Cổ phần Đầu tư Nước sạch Sông Đà,
PVC,Công ty TNHH Dung dịch khoan và Dịch vụ dầu khí,100%
PVC,Công ty Cổ phần Hóa phẩm dầu khí DMC - miền Nam,51%
PVC,Công ty TNHH Dung dịch Khoan M-I Việt Nam,51%
LLM,CTCP Lilama South East Asia SDN BHD,99%
LLM,CTCP Tư vấn quốc tế LHT,60%
LLM,Công ty Cổ phần Lilama 5,51%
LLM,Công ty Cổ phần Lilama 7,51%
LLM,Công ty Cổ phần Cơ khí Lắp máy Lilama,51%
LLM,Công ty Cổ phần Lilama 69-1,41.1%
LLM,CTCP Lilama 69-3,36%
LLM,Công ty cổ phần Lilama 10 ,36%
LIC,Công ty TNHH MTV Nhà ở và Đô thị LICOGI,100%
LIC,Công ty TNHH MTV Đầu tư và Xây dựng LICOGI 12,100%
LIC,CTCP Kỹ thuật nền móng và Xây dựng 20,92.58%
LIC,Công ty Cổ phần Lắp máy điện nước - LICOGI,89.92%
LIC,Công ty cổ phần Cơ khí Đông Anh Licogi,89.06%
LIC,CTCP Licogi 15,64.64%
LIC,Công ty cổ phần Licogi Quảng Ngãi,63.16%
LIC,CTCP Tư vấn Licogi,60%
LIC,CTCP Cơ giới và Xây lắp số 10,57.71%
LLM,Công ty Cổ phần Lilama 18,36%
LLM,CTCP Lilama 45.1,36%
LLM,Công ty Cổ phần Lilama 69-2,
LIC,CTCP Licogi 17,56.33%
LIC,"Công ty Cổ phần Đầu tư, Xây lắp và Vật liệu Xây dựng Đông Anh",51.85%
LIC,CTCP Cơ giới và Xây lắp số 9,51%
M10,Công ty TNHH May Phù Đổng,60.97%
VEA,Công ty TNHH MTV Cơ khí Trần Hưng Đạo,100%
VEA,Công ty TNHH MTV Diesel Sông Công,100%
VEA,Công ty TNHH MTV Máy kéo & Máy NN,100%
VEA,Công ty TNHH MTV SVEAM,100%
VEA,Viện Công nghệ,100%
VEA,VEAM Korea,89%
VEA,Công ty Cổ phần Phụ tùng máy số 1,54.99%
VEA,CTCP Cơ khí Cổ Loa,53.66%
VEA,CTCP Vận tải và Thương mại VEAM,51%
TBD,Công ty TNHH MTV Thiết bị lưới điện - EEMC,100%
TBD,Công ty TNHH MTV Thiết kế và Chế tạo thiết bị điện - EEMC,100%
VEA,CTCP Cơ khí Phố Yên,51%
VEA,CTCP Cơ khí Chính xác số 1,51%
VEA,CTCP Matexim Hà Nội,51%
VEA,CTCP Cơ khí Vinh,49%
HTM,CTCP phát triển siêu thị Hà Nội,83.42%
HTM,CTCP Đầu tư Thương mại Hapro Đà Nẵng,78.58%
HTM,Công ty cổ phần đầu tư thương mại và dịch vụ Chợ Bưởi.,62%
HTM,Công ty Cổ phần rượu Hapro,54.58%
HTM,Công ty Thương mại dịch vụ Tràng Thi,53.33%
HTM,CTCP XNK TCMN và Du lịch Thương nhân Hapro,52.5%
HTM,Công ty Cổ phần Thuỷ Tạ,51.25%
HTM,Công ty cổ phần sự kiện và ẩm thực Hapro,51%
HTM,Công ty Cổ phần Gốm Chu Đậu,51%
HTM,Công ty Cổ phần Thực phẩm Hà Nội,20%
HAN,Công ty TNHH MTV Hancorp 3,100%
HAN,Công ty TNHH MTV HANTECH,100%
HAN,CTCP Thiết bị và Vật liệu Xây dựng Hancorp,80%
HAN,CTCP Đầu tư và thương mại Hancorp1,51%
HAN,CTCP Đầu tư và Xây dựng số 1 Hà Nội,50.36%
HAN,CTCP Đầu tư Phát triển nhà và Xây dựng Tây Hồ,50.09%
MVN,Công ty cổ phần Cảng Đà Nẵng,112.5%
MVN,Công ty Cổ phần Cảng Cần Thơ,99.05%
MVN,Công ty cổ phần Cảng Hải Phòng,92.56%
MVN,Công ty cổ phần Cảng Cam Ranh ,80.9%
MVN,Công ty Cổ phần Cảng Sài Gòn,65.45%
MVN,Công ty Cổ phần Đầu tư Cảng Cái Lân,56.58%
MVN,Công ty cổ phần Đại lý Hàng hải Việt Nam  ,51.05%
AAA,Công ty Cổ phần An Tiến Industries,104.28%
AAA,CTCP Khu công nghiệp Kỹ thuật cao An Phát 1,89.33%
AAA,CTCP An Thành Bicsol,74.12%
AAA,Công ty TNHH An Thành Bicsol Singapore PTE,63.54%
AAA,CTCP Nhựa bao bì An Vinh,56.51%
AAA,CTCP Liên vận An Tín,44.48%
AAA,Công ty TNHH KCN Kỹ thuật cao An Phát,
APH,Công ty Cổ phần Nhựa An Phát Xanh,52.26%
APH,Công ty Cổ phần Nhựa Hà Nội,27.66%
APH,Công ty Cổ phần An Tiến Industries,
MVN,Công ty Cổ phần Vận tải biển Việt Nam,51%
MVN,Công ty Cổ phần Vận tải Biển Vinaship,51%
MVN,Công ty cổ phần Cảng Nghệ Tĩnh,51%
MVN,Công ty cổ phần Tư vấn và Xây dựng công trình Hàng Hải,49%
MVN,Công ty cổ phần Cảng Quảng Ninh,40.39%
MVN,Công ty cổ phần Dịch vụ Vận tải và Thương mại,33.49%
MVN,Công ty TNHH Cảng Quốc tế Cái Mép,
MVN,Công ty TNHH Cảng Quốc tế SP - PSA,
AMS,Công ty TNHH AMECC MYANMAR,100%
AMS,CTCP Dịch vụ kỹ thuật AMECC Miền Nam,18.84%
AMS,CTCP Thương mại AMECC WEI SHENG,9.87%
TCH,CTCP Xây dựng Địa ốc Thịnh Phát,96.33%
TCH,CTCP Xây dựng Thịnh Hiệp,95.84%
TCH,CTCP Tập đoàn Bất động sản CRV,81.67%
TCH,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,51.06%
MVN,Công ty Cổ phần Hàng Hải Sài Gòn,
MVN,CTCP Phát triển Hàng hải,
MVN,CTCP Vinalines Logistics - Việt Nam ,
MVN,Công ty TNHH MTV Dịch vụ Hàng Hải Hậu Giang,
MVN,CTCP Cảng Vinalines Đình Vũ,
MVN,Công ty TNHH Vận tải Hàng công nghệ cao,
MVN,Công ty TNHH MTV Vận tải Biển Đông (BISCO),
MVN,Công ty Liên doanh Khai thác Container Việt Nam (VinaBridge),
MVN,CTCP Cảng Khuyến Lương,
MVN,CTCP Vận tải biển và Hợp tác lao động quốc tế,
MVN,Công ty Liên doanh Vận tải Quốc tế Việt Nhật,
MVN,Công ty Liên doanh Dịch vụ Container Quốc tế CSG - SSA,
NTP,CTCP Nhựa Thiếu niên Tiền phong miền Trung,100%
NTP,Công ty TNHH Bất động sản Tiền Phong,100%
HPG,CTCP Thép Hòa Phát Dung Quất,100%
HPG,Công ty TNHH Thép Hòa Phát Hưng Yên,100%
HPG,Công ty TNHH Tôn Hòa Phát,100%
HPG,CTCP Thép Hòa Phát Hải Dương,100%
HPG,CTCP Phát triển nông nghiệp Hòa Phát,99.99%
HPG,Công ty TNHH Ống thép Hòa Phát,99.97%
HPG,CTCP Đầu tư Khoáng sản An Thông,99.96%
HPG,Công ty TNHH Thiết bị Phụ tùng Hòa Phát,99.86%
HPG,CTCP Xây dựng & Phát triển Đô thị Hòa Phát,99.85%
HPG,Công ty TNHH Điện lạnh Hòa Phát,99.67%
HPG,CTCP Nội thất Hòa Phát,99.6%
ABS,CTCP Xuất nhập khẩu Vật tư nông nghiệp III,31.02%
CKG,CTCP Vật liệu Xây dựng CIC Kiên Giang,73%
CKG,CTCP Đầu tư Phát triển Hạ tầng Phú Quốc,56.1%
CKG,CTCP Đầu tư xây dựng Thắng Anh,54.8%
CKG,CTCP CIC Tinh khôi,51.3%
CKG,CTCP Tư vấn Xây dựng CIC Nam Việt,51%
CKG,CTCP Tư vấn Xây dựng CIC Kiên Giang,51%
CKG,CTCP Thương mại Đầu tư Phát triển Đại Tây Dương Phú Quốc,44%
KTC,CTCP Thương mại dịch vụ Kiên Giang,98.03%
HLG,Công ty TNHH MTV Taxi Sài Gòn Hoàng Long,100%
HLG,Công ty TNHH MTV Công nghệ và Thương mại Hoàng Long,100%
HLG,Công ty TNHH MTV Đầu tư phát triển hạ tầng Hoàng Long,100%
HLG,Công ty TNHH MTV Thức ăn Thủy sản Mekong,100%
BAB,Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản Ngân hàng TMCP Bắc Á,100%
BAB,Công ty TNHH Kiều hối Đông Á,100%
KLB,Công ty TNHH MTV Quản lý nợ & Khai thác tài sản-Ngân hàng TMCP Kiên Long (KBA),100%
TIS,Công ty Cổ phần Cán thép Thái Trung,93.68%
TIS,Công ty CP Khai thác và Chế biến khoáng sản Thái Trung,51%
LSS,Công ty TNHH Lam Sơn - Sao Vàng,100%
LSS,CTCP NCN Dịch vụ Thương mại Vân Sơn,100%
LSS,CTCP Đầu tư phát triển Lam Sơn - Bá Thước,100%
LSS,Công ty TNHH Thương mại và XNK Lam Sơn,100%
LSS,Công ty TNHH Một thành viên Thành An – Lam Sơn,100%
LSS,Công ty TNHH Trung tâm Nghiên cứu và Phát triển Nông nghiệp Công nghệ cao Lam Sơn,100%
LSS,CTCP Mía đường Nông Cống,56.61%
ADS,Công ty Cổ phần Sợi EIFFEL,80%
SRF,CTCP Kỹ Thuật và Xây dựng Searefico (Searefico E&C),99%
SRF,CTCP Bất động sản Seareal,98.4%
SRF,CTCP Kỹ Nghệ Lạnh Á Châu (Arico),84%
SRF,CTCP Cơ điện lạnh Searee,65%
DQC,Công ty TNHH MTV Điện tử Điện Quang,100%
DQC,Công ty TNHH MTV Công nghệ cao Điện Quang (DQH),100%
DQC,Công ty TNHH Thương mại Dịch vụ Điện quang,51%
DQC,CTCP Đầu tư và Xây lắp Điện Quang,51%
VCI,CTCP Quản lý Quỹ đầu tư Chứng Khoán Bản Việt (VCAM),51%
CTF,CTCP Ô tô Phú Mỹ,98.53%
CTF,CTCP Auto Trường Chinh,96.52%
CTF,CTCP City Auto Vũng Tàu,95%
CTF,CTCP Ô tô Nha Trang,73%
REE,Công ty TNHH Thương mại Dịch vụ Xây dựng Tín Hiệu Xanh,100%
REE,Công ty TNHH Quản lý & Khai thác Bất động sản REE,100%
REE,CTCP Điện máy R.E.E,99.99%
REE,CTCP Dịch vụ & Kỹ thuật Cơ điện lạnh R.E.E (REE ME),99.99%
REE,Công ty TNHH Thương mại & Dịch vụ RMC,99.99%
REE,Eastrade International Ltd,99.99%
REE,CTCP Bất động sản R.E.E,99.97%
REE,CTCP Đầu tư và Kinh doanh Nước sạch Việt Nam,99.97%
REE,CTCP Bất động sản Song Mai,99.96%
REE,CTCP Vĩnh Thịnh,99.96%
REE,CTCP Hạ tầng và Bất động sản Việt Nam,50.61%
REE,Công ty Cổ phần Phát triển điện Nông thôn Trà Vinh,n/a
REE,Công ty cổ phần Thủy điện Thác Bà,n/a
REE,Công ty Cổ phần Cấp nước Thủ Đức,n/a
CII,CTCP Đầu tư và Xây Dựng Cầu đường Bình Triệu,100%
CII,CTCP Đầu tư cao ốc Văn phòng Điện Biên Phủ,100%
CII,Công ty TNHH MTV Dịch vụ Hạ tầng CII,100%
CII,Công ty TNHH MTV Đầu tư Kinh doanh Địa ốc Lữ Gia,100%
CII,Công ty TNHH MTV Bắc Thủ Thiêm,100%
CII,CTCP Đầu tư Hạ tầng Kỹ thuật VinaPhil,99.9%
NBB,Công ty TNHH XD TM DV SX Hùng Thanh,95%
NBB,Công ty TNHH Hương Trà,89.1%
SMC,Công ty TNHH MTV Thương mại SMC,100%
SMC,CTCP SMC Hà Nội,100%
SMC,Công ty TNHH MTV SMC Tân Tạo,100%
AGG,CT TNHH ĐẦU TƯ BẤT ĐỘNG SẢN AN GIA PHÚ THUẬN,100%
AGG,CTCP TƯ VẤN CRE & AGI,99.8%
AGG,CTCP AN GIA PHÚ THỊNH,50.09%
AGG,CTCP QUẢN LÝ VÀ PHÁT TRIỂN GIA KHÁNH,50.01%
AGG,CT TNHH WESTERN CITY,50%
KDH,Công ty TNHH MTV Hào Khang,100%
KDH,Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc,100%
KDH,Công ty TNHH Đầu tư Phát triển BCCI,100%
KDH,Công ty TNHH Phát triển Nhà và Xây dựng Hạ tầng Long Phước Điền,99.95%
KDH,Công ty TNHH Kinh doanh Địa ốc Gia Phước,99.9%
TCM,CTCP Thành Quang,98.56%
TCM,Công ty TNHH TC Tower,85.33%
TCM,CTCP Trung tâm Y khoa Thành Công,70.94%
SIP,CTCP Sản xuất và Xuất khẩu Cao su Sài Gòn VRG,99.95%
SIP,Công ty cổ phần Xây dựng Incontec,99.91%
SIP,CTCP Phát triển Dịch vụ Sài Gòn,96.67%
SIP,Công ty Cổ Phần Bao bì Sài Gòn,93.58%
SIP,CTCP Đầu tư và Tư vấn Xây dựng Phú An Thành,81.99%
SIP,CTCP Đầu tư và Phát triển VRG Long Thành,69%
SIP,CTCP Cảng và Dịch vụ Logistics VRG Thanh Phước,50.91%
HPT,CTCP Công nghệ HPT,100%
NLG,Công ty TNHH Sàn giao dịch BĐS Nam Long,100%
NLG,CTCP Nam Long VCD,100%
NLG,Công ty TNHH MTV Đầu tư Xây dựng Phát triển Nam Khang,100%
NLG,CTCP Dịch vụ Nam Long,100%
NLG,CTCP Đầu tư Nam Phan,100%
NLG,Công ty TNHH MTV Quản lý và khai thác BĐS Nam Long (Nam Long PMD),100%
CII,Công ty TNHH Đô thị xanh Sài Gòn Long Khánh,95%
CII,CTCP Xây dựng Hạ tầng CII,74.9%
CII,Công ty Cổ phần Đầu tư Cầu đường CII,54.79%
CII,Công ty cổ phần Hạ tầng nước Sài Gòn,50.61%
CII,Công ty Cổ phần Đầu tư Năm Bảy Bảy,37.4%
AGG,CTCP TƯ VẤN HOÀNG ÂN,50%
AGG,CTCP ĐẦU TƯ XÂY DỰNG DU LỊCH PHƯỚC LỘC,50%
AGG,CTCP PHÁT TRIỂN NHÀ VĂN PHÒNG ĐỊA CHỈ VIỆT,
KDH,Công ty TNHH Đầu tư Kinh Doanh Bất động sản Saphire,99.9%
KDH,Công ty TNHH Đầu tư Kinh doanh BĐS Kim Phát,99.9%
KDH,Công ty TNHH Đầu tư và Kinh doanh Địa ốc Trí Kiệt,99.9%
KDH,Công ty TNHH Tư vấn Quốc Tế,99.9%
NLG,Công ty TNHH Kinh doanh Vật liệu xây dựng Nam Khang,100%
NLG,Công ty TNHH Paragon Đại Phước,100%
NLG,CTCP Nam Long - Hồng Phát,99.98%
NLG,Công ty cổ phần Phát triển Căn hộ Nam Long,97.14%
NLG,CTCP Bất động sản Nguyên Sơn,87.33%
NLG,CTCP Tư vấn Thiết kế và  Xây dựng Nam Viên,81.25%
NLG,Công ty TNHH Đầu tư và Kinh doanh BĐS Thảo Nguyên,50%
HAX,CTCP SX Thương mại và dịch vụ Ô tô PTM,92.7%
HAX,CTCP Cơ khí Ô tô Cần Thơ,76%
PVS,Công ty TNHH MTV Dịch vụ Khảo sát và Công trình ngầm PTSC,100%
PVS,CTCP Khách sạn Dầu khí,100%
PVS,Công ty TNHH MTV Dich vụ Cơ khí Hàng Hải PTSC,100%
PVS,Công ty TNHH MTV Dịch vụ Kỹ thuật Dầu khí Labuan,100%
