mck_cong_ty_HO,ten_cong_ty_con,ti_le_so_huu
PVS,CTCP Dịch vụ Dầu khí Quảng Ngãi,95.19%
PVS,"Công ty Cổ phần Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC",84.95%
PVS,CTCP Cảng dịch vụ Dầu khí tổng hợp Phú Mỹ,59.61%
OPC,Công ty TNHH MTV Dược phẩm OPC Bình Dương,100%
OPC,CTCP Dược phẩm Trung Ương 25,58.14%
SVC,Công ty Cổ phần Đà Nẵng Sơn Trà,98%
SVC,CTCP Ôtô Vĩnh Thịnh (Hino Vĩnh Thịnh),90%
SVC,CTCP Ô tô Sài Gòn Cửu Long,84.17%
SVC,Công ty TNHH Thương mại Dịch vụ Sài Gòn (YAMAHA Sài Gòn),82.12%
SVC,CT Cổ phần OtoS,80.86%
SVC,CTCP Ôtô Tây Bắc Sài Gòn,80%
GMD,Công ty TNHH Cảng Phước Long,100%
GMD,Công ty TNHH dịch vụ vận tải tổng hợp V.N.M,100%
GMD,Công ty TNHH MTV Vận tải hàng hải Thái Bình Dương,100%
GMD,Công ty TNHH MTV Công nghiệp cao su Thái Bình Dương,100%
GMD,CTCP Hòn Ngọc Thái Bình Dương,100%
MKP,Công ty TNHH Mekophar,100%
MCH,Công ty TNHH MTV Công nghệ Thực phẩm Việt Tiến,100%
MCH,CTCP Bao bì Minh Việt,100%
MCH,CTCP Công  nghiệp Masan và Công ty con - CTCP Công nghệ Thực phẩm Hoa Sen,100%
MCH,Công ty TNHH MTV Masan Beverage (MSB),100%
MCH,Công ty TNHH Một thành viên Thực phẩm Masan,100%
MCH,Masan Consumer (Thailand) Limited,99.99%
MCH,CTCP Ma San PQ,94.5%
KDH,Công ty TNHH Đầu tư Thành Phúc,99.9%
KDH,Công ty TNHH Đô thị Mêga,99.85%
KDH,CTCP Kinh doanh Bất động sản Sài Gòn Mùa Xuân,99.8%
KDH,CTCP Đầu tư và Kinh doanh Bất động sản Trí Minh,99.8%
KDH,Công ty TNHH Xây dựng và Kinh doanh Nhà Tháp Mười,99.8%
KDH,Công ty TNHH ĐT KD BĐS Bình Trưng,99.8%
KDH,Công ty TNHH Đầu tư Bất động sản Nguyên Phát,99.8%
KDH,Công ty TNHH Phát triển Bất động sản Phú Hải,99.8%
NLG,Công ty TNHH Đầu tư & Kinh doanh BĐS Nguyên Phúc,50%
NLG,CTCP Southgate,50%
NLG,Công ty TNHH NLG – NNR – HR FUJI,50%
NLG,Công ty TNHH NN KIKYO VALORA,50%
NLG,Công ty TNHH NNH Kikyo Flora,50%
PVS,CTCP Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa,54.69%
PVS,CTCP Dịch vụ Khai thác Dầu khí PTSC,51%
PVS,Công ty liên doanh PTSC South East Asia (SEA),51%
PVS,Công ty liên doanh PTSC Asia Pacific,51%
PVS,Công ty CP Khảo sát Địa vật lý PTSC-CGGV,51%
PVS,CTCP Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,51%
PVS,Công ty cổ phần Đầu tư Dầu khí Sao Mai – Bến Đình,51%
PVS,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,50.96%
SVC,CTCP Savico Hà Nội,70%
SVC,CTCP Savico Đà Nẵng,70%
SVC,CTCP Sài Gòn Ngôi sao,56.8%
SVC,Công Ty TNHH Xe và Thiết bị chuyên dùng Vĩnh Thịnh Hyundai Vĩnh Thịnh - CV,55%
SVC,Công ty TNHH Sài Gòn Ô tô (Saigon Ford),52.05%
SVC,Công ty Liên doanh Toyota Giải Phóng,51%
SVC,Công ty TNHH Toyota Cần Thơ,51%
GMD,Công ty CP Hoa sen Thái Bình Dương,100%
GMD,Công ty TNHH thiết bị và dịch vụ hàng hải Thái Bình Dương,100%
GMD,CTCP Niềm Kiêu Hãnh Thái Bình Dương,100%
GMD,CTCP Cảng Nam Hải,99.98%
GMD,CTCP Cảng Nam Hải Đình Vũ,84.66%
GMD,CTCP Cảng Quốc tế Gemadept Dung Quất,80.4%
KDH,Công ty TNHH Phát triển Bất động sản Nam Thông,99.8%
KDH,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Liên Minh,99.7%
KDH,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Song Lập,99.7%
SVC,CTCP Ôtô Nam Sông Hậu ( Honda Cần Thơ),51%
GMD,CTCP Gemadept Vũng Tàu,70%
GMD,CTCP ICD Nam Hải,65%
GMD,CTCP Cảng Nam Đình Vũ,60%
HTN,Công ty Cổ phần Cơ khí và Xây dựng Bình Triệu,95.24%
LCG,CTCP Bất động sản LICOGI 16,100%
LCG,Công ty TNHH Xây dựng Thương mại và Dịch vụ Điền Phước,95%
LCG,CTCP Đầu tư Hạ tầng LICOGI 16,95%
LCG,CTCP Đầu tư Năng lượng tái tạo LICOGI 16,88%
LCG,CTCP Đầu tư Năng lượng tái tạo LICOGI 16 Gia Lai,88%
LCG,CTCP LICONS Việt Nam,80%
LCG,Công ty TNHH Xây dựng và Thương mại 12,80%
LCG,CTCP Đầu tư Tiện ích LICOGI 16,75%
VNL,Công ty TNHH Logistics Vinalink (Cambodia),100%
PDR,CTCP ĐK Phú Quốc,99%
PDR,CTCP ĐỊA ỐC SÀI GÒN – KL,99%
PDR,CTCP BẾN THÀNH - LONG HẢI,99%
PDR,CTCP ĐẦU TƯ BĐS NGÔ MÂY,94%
PDR,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,80%
PDR,CTCP ĐẦU TƯ PHÁT TRIỂN KCN PHÁT ĐẠT,68%
GAS,CTCP Sản xuất Ống thép Dầu khí (PV-PIPE),99.99%
GAS,Công ty cổ phần CNG Việt Nam,56%
GAS,Công ty cổ phần Bọc ống Dầu khí Việt Nam,52.94%
GAS,Công ty Cổ phần Kinh doanh LPG Việt Nam,51.31%
GAS,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,50.5%
FHS,CTCP Văn hóa và Thương mại Bình Dương,74.04%
KDH,CTCP Vi La,99%
KDH,Công ty Cổ phần Việt Hữu Phú,99%
KDH,Công ty TNHH Phát triển Bất động sản Nam Phú,99%
KDH,CTCP Bất động sản Thủy Sinh,98.9%
KDH,Công ty TNHH Đầu tư và Kinh Doanh BĐS Không Gian Xanh,98.01%
KDH,Công ty TNHH Đầu tư Địa ốc Minh Phát,51%
GMD,CTCP Dịch vụ Vận tải Trường Thọ,54%
GMD,CTCP Cảng Quốc tế Gemadept Nhơn Hội,53.2%
GMD,ISS Gemadept Vietnam,51%
GMD,CTCP Đầu tư xây dựng & Phát triển hạ tầng Gemadept,50%
LCG,CTCP Nước Sài Gòn - Cần Thơ,61%
SAM,Công ty Cổ phần Dây và cáp Sacom,99.9%
SAM,CTCP Sacom - Tuyền Lâm,99.75%
SAM,CTCP Địa ốc Sacom (SamLand),74.99%
SAM,Công ty TNHH Sacom - Chíp sáng (SCS),73.75%
SAM,CTCP SAM Nông nghiệp công nghệ cao,51%
GIL,Công ty TNHH Lưu Công Hiệu,100%
GIL,CTCP Đầu tư Hạ tầng BT,100%
GIL,Công ty TNHH MTV Kho vận Gilimex,100%
GIL,CTCP Sản xuất Kinh doanh Kim khí Đại Tây Dương,100%
GIL,Công ty TNHH Bất động sản Gia Định,100%
GIL,Công ty TNHH May Thạnh Mỹ,100%
GIL,CTCP Ichiban Star,99.99%
GIL,CTCP Bất động sản Hưng Khang,99.99%
GIL,CTCP SXKD Thiết bị chiếu sáng Thái Bình Dương,99.9%
GIL,Công ty May hàng gia dụng Gilimex,99.45%
GIL,CTCP Khu công nghiệp Gilimex,95%
BCG,CTCP Phát triển Nguyễn Hoàng,91.6%
BCG,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,51.63%
BCG,CTCP BCG Land,n/a
BCG,Công ty TNHH Indochina Hội An Beach Villas,
BCG,CTCP BCG Energy,
ASP,Công ty TNHH MTV Khí đốt Gia Đình,100%
ASP,CTCP Ngọn Lửa Thần,100%
ASP,Công ty TNHH TM DV Minh Thảo,100%
ASP,CTCP Thương mại Bình Minh,99.99%
ASP,CTCP Nam Gas,99.99%
ASP,CTCP Khí đốt Gia Định,99.94%
ASP,CTCP Dầu khí An Pha,98.57%
ASP,Công ty TNHH Đức Hải,80%
ASP,Công ty Cổ phần MT Gas,67.56%
NVL,Công ty TNHH MTV Địa ốc No Va,100%
NVL,Công ty TNHH No Va Lucky Palace,100%
NVL,Công ty TNHH MTV Novaland Agent,100%
NVL,Công ty TNHH BĐS Khải Hưng,100%
NVL,Công ty TNHH Đầu tư Địa ốc Thành Nhơn,100%
NVL,Công ty TNHH Nova An Phú,100%
NVL,CTCP BĐS Thịnh Vượng,100%
NVL,Công ty TNHH BĐS Bách Hợp,100%
NVL,CTCP Địa ốc Nova Mỹ Đình,99.99%
NVL,Công ty TNHH BĐS Gia Phú,99.99%
NVL,Công ty TNHH BĐS Gia Đức,99.99%
NVL,Công ty TNHH Nova Property Management,99.99%
NVL,Công ty TNHH Đầu tư và BĐS Tường Minh,99.99%
KDC,Công ty TNHH Thương mại và Dịch vụ KIDO,100%
KDC,Công ty TNHH Một Thành viên Thực Phẩm Kido,100%
KDC,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - CTCP,87.3%
KDC,Công ty Dầu ăn Golden Hope Nhà Bè,75.99%
KDC,Công ty Cổ phần Thực phẩm Đông lạnh KIDO,65%
KDC,Công ty Cổ phần Dầu Thực vật Tường An,61.9%
KDC,Công ty Cổ phần Bao bì dầu thực vật,27.23%
NVL,Công ty TNHH Nova Sasco,99.99%
NVL,Công ty TNHH Đầu tư và Phát triển Phước Long,99.99%
NVL,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,99.99%
TLG,Công ty TNHH MTV Dịch vụ và Thương mại Thiên Long Hoàn Cầu,100%
TLG,Công ty TNHH MTV Thương mại và Dịch vụ Tân Lực Miền Nam,100%
TLG,Công ty TNHH MTV Thương mại Dịch vụ Tân Lực miền Bắc,100%
TLG,Công ty TNHH SX - TM Thiên Long Long Thành,100%
TLG,Công ty TNHH MTV Thương mại Dịch vụ Tân Lực Miền Trung,100%
NVL,Công ty TNHH No Va Thảo Điền,99.98%
NVL,CTCP Nova Nippon,99.98%
NVL,CTCP Nova Hospitality,99.98%
NVL,CTCP Thương Mại Đầu Tư BĐS Phú Trí,99.98%
NVL,Công ty TNHH BĐS Nova Riverside,99.97%
HBC,CTCP TNHH MTV Máy Xây dựng MATEC,100%
HBC,Công ty TNHH Tư vấn thiết kế Hòa Bình (HBA),100%
HBC,Công ty TNHH Sơn Hòa Bình (HBP),100%
HBC,CTCP Nhà Hòa Bình,94%
HBC,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,85%
HBC,CTCP Đầu tư Xây dựng Hạ tầng Hòa Bình (HBI),80.78%
NVL,CTCP Nova Richstar,99.97%
NVL,CTCP Đầu tư và Thương mại Nhà Rồng,99.96%
NVL,CTCP Kinh doanh BĐS Thái Bình,99.96%
NVL,Công ty TNHH ĐT&PT BĐS 350,99.95%
NVL,CTCP BĐS Đỉnh Phát,99.91%
TMS,Công ty TNHH MTV Vận tải Transimex,75.48%
TMS,Công ty cổ phần Vinafreight,57.12%
TMS,CTCP Dịch vụ Logistics Thăng Long,52.78%
CTD,CTCP Đầu tư Xây dựng Uy Nam (UNICONS),100%
CTD,Công ty TNHH Covestcons,100%
CTD,CTCP Phú Nhuận 168,69.98%
TNA,CTCP Phát triển Kinh doanh Thương mại Sài gòn 168,75%
TNA,CTCP Đầu tư Giáo dục Thiên Nam,68%
TNA,Công ty TNHH Công nghệ phẩm Thiên Nam,51%
BVB,Công ty TNHH MTV Quản lý nợ & Khai thác tài sản Ngân hàng TMCP Bản Việt,100%
NVL,CTCP Nova Princess Residence,99.9%
NVL,Công ty TNHH Merufa - Nova,99.89%
NVL,Công ty TNHH ĐT&PT BĐS Nova Phúc Nguyên,99.89%
PVT,CTCP Vận tải Dầu khí Vũng Tàu (PV Trans Vũng Tàu),99.85%
PVT,CTCP Vận tải Xăng dầu Phương Nam,69.63%
PVT,Công ty cổ phần Vận tải Sản phẩm khí quốc tế,67.74%
PVT,Công ty cổ phần Vận tải Dầu khí Thái Bình Dương,64.92%
PVT,Công ty cổ phần Vận tải dầu Phương Đông Việt,52.61%
PVT,CTCP Vận tải Nhật Việt,51%
PVT,CTCP Vận tải Dầu khí Quảng Ngãi,50.67%
PVT,CTCP Vận tải Dầu khí Hà Nội (PV Trans Hà Nội),50.5%
PVT,Công ty Cổ phần Vận tải Dầu khí Đông Dương,48.67%
NVL,CTCP Cao ốc Phương Đông,99.88%
NVL,CTCP Đầu tư Ngọc Linh Hoa,99.83%
NVL,CTCP Đầu tư BĐS Vương Gia,99.81%
NVL,CTCP Địa Ốc Nhật Hoa,99.81%
NVL,CTCP The Prince Residence,99.81%
MNB,Công ty TNHH Giặt tẩy Nhà Bè,82.35%
MNB,CTCP May Đức Linh - Nhà Bè,60%
MNB,CTCP May Nhà Bè - Hậu Giang,55.56%
MNB,CTCP May Đà Lạt,55%
MNB,CTCP May Bình Định,51.84%
MNB,CTCP Bất động sản Nhà Bè,51.57%
MNB,CTCP May Bình Thuận - Nhà Bè,51%
MNB,CTCP May Gia Lai,51%
MNB,CTCP May Tam Quan,51%
CC1,Công ty CP Đầu tư Xây dựng Cầu Đồng Nai,72.47%
CC1,Công ty TNHH Bê tông đúc sẵn Vina PSMC,70%
CC1,Công ty cổ phần Xây dựng số một - Việt Hưng,51.2%
CC1,Công ty cổ phần Xây dựng số một - Việt Quang,51%
CC1,Công ty cổ phần  Xây dựng số một - Việt Nguyên,50.92%
FIC,CTCP Phước Hòa Fico,73.87%
FIC,Công ty CP Cơ khí Xây dựng Tân Định Fico,64.24%
FIC,CTCP Xi măng Fico Tây Ninh,59.32%
FIC,CTCP Đầu tư Fico,26.33%
FIC,Công ty TNHH Xi măng Fico Bình Dương,30.75%
FIC,CTCP Đầu tư Xây dựng Hạ tầng Fico,30%
NVL,Công ty TNHH Nova Rivergate,99.77%
NVL,CTCP Địa Ốc Thành Nhơn,99.72%
NVL,CTCP Sài Gòn Gôn,99.72%
NVL,CT TNHH ĐT&PT BĐS CQ89,99.54%
NVL,CTCP Đầu tư và Phát triển Quốc tế Thế kỷ 21,98.96%
MNB,CTCP May Gia Phúc,47.5%
GVR,Công ty TNHH MTV Tổng Công ty cao su Đồng Nai,100%
PPH,CTCP Dệt Gia Dụng Phong Phú,90%
VGG,Công ty TNHH May Thuận Tiến,
VGG,Công ty TNHH May Tiến Thuận,
VGG,Công ty TNHH Nam Thiên,
VGG,Công ty TNHH May xuất khẩu Việt Hồng,
VGG,Công ty TNHH Liên doanh sản xuất Nút Việt Thuận,
VGG,Công ty TNHH Việt Khánh,
VGS,CTCP Thép Việt Đức,99.94%
BCC,CTCP Xi măng miền Trung,76.8%
PET,Công ty cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,103.96%
PET,CTCP Thương mại dịch vụ dầu khí miền Trung (PSMT),99.79%
PET,CTCP Quản lý và Khai thác Tài sản Dầu khí (PSA),78.61%
PET,CTCP Dịch vụ Bán lẻ Dầu khí (PVR),75%
PET,CTCP Dịch vụ tổng hợp dầu khí Vũng Tàu (PSV),70%
PET,CTCP Dịch vụ Logistics Dầu khí Việt nam,67%
NVL,Công ty TNHH ĐT&PT BĐS Sun City,98.86%
NVL,CTCP Ngôi nhà Mega,98.6%
NVL,Công ty TNHH MEGA TIE,98.59%
MNB,CTCP May An Nhơn,45.9%
GVR,Công ty TNHH MTV Cao su Bình Long,100%
GVR,Công ty TNHH MTV Cao su Dầu Tiếng,100%
VGG,CTCP May Việt Tân,
VGG,CTCP Việt Hưng,
VGG,CTCP May Việt Thịnh,
VGG,CTCP Nguyên vật liệu Dệt may Bình An,
VGG,CTCP May Công Tiến,
VGG,CTCP May Vĩnh Tiến,
PET,Công ty TNHH MTV Thương mại và dịch vụ Dầu khí Biển (POTS),60%
PET,CTCP Hội tụ Thông minh (Smartcom),55%
PET,CTCP Phân phối Sản phẩm Công nghệ cao Dầu khí,51%
PET,Công ty TNHH PETROSETCO SSG (PSSSG),51%
IDC,Công ty TNHH MTV Phát triển Đô thị và Khu công nghiệp IDICO,100%
IDC,Công ty TNHH MTV Xây dựng IDICO,100%
IDC,CTCP Đầu tư Xây dựng số 10 IDICO,96.83%
IDC,CTCP Đầu tư Xây dựng Thái Bình IDICO,95.19%
IDC,CTCP Đầu tư Xây dựng và Phát triển Vật liệu IDICO ,81.94%
IDC,Công ty Cổ phần Tư vấn Đầu tư IDICO,70.4%
IDC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị Idico,66.93%
IDC,CTCP IDICO Tiền Giang,65%
IDC,CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Quế Võ IDICO (IDICO-QUEVO),54.94%
IDC,Công ty cổ phần Thủy điện Srok Phu Miêng IDICO,51.78%
MIE,Công ty TNHH NN MTV Cơ khí Hà Nội,100%
MIE,Công ty TNHH NN MTV Cơ khí Quang Trung,100%
MIE,Công ty TNHH NN MTV Xuất nhập khẩu Sản phẩm Cơ khí,100%
MIE,Công ty TNHH MTV Xuất nhập khẩu Thiết bị toàn bộ và Kỹ thuật,100%
MIE,Công ty cổ phần Cơ khí Duyên Hải,98.19%
MIE,Công ty cổ phần Dụng cụ số 1,51%
NVL,CTCP Phát triển nhà ở và Hạ tầng Sài Gòn,98%
NVL,Công ty TNHH BĐS Phúc Bình,97.77%
NVL,CTCP Nova Festival,94.02%
NVL,Công ty TNHH Nova Nam Á,92.71%
NVL,CTCP Đầu tư Địa ốc No Va,91.76%
GVR,Công ty TNHH MTV Cao su Lộc Ninh,100%
GVR,Công ty TNHH MTV Cao su Phú Riềng,100%
VGG,CTCP Đồng Tiến,
VGG,CTCP May Tiền Tiến,
VGG,CTCP Việt Tiến Đông Á,
VGG,Công ty TNHH Nhãn thời gian Việt Tiến,
VGG,CTCP May Tây Đô,
VGG,CTCP Tổng hợp Ninh Thuận,
VGG,CTCP Cơ khí Thủ Đức,
VGG,Công ty TNHH Việt Long Hưng,
VGG,Hợp tác Kinh doanh Việt Tiến Tungshing,
VGG,Xí nghiệp dịch vụ Giao nhận hàng hóa XNK M&S,
IDC,Công ty cổ phần Đầu tư Xây dựng Dầu khí IDICO,51%
IDC,CTCP Đầu tư xây dựng Long An IDICO,51%
NQN,Công ty TNHH Cấp nước Yên Lập - Quảng Ninh,3.87%
HIG,Công ty TNHH Thương mại và Dịch vụ tin học HIPT,100%
HIG,Công ty TNHH Tích hợp hệ thống HIPT (HISI),100%
HIG,Công ty TNHH Dịch vụ đầu tư HIPT (Invest),100%
HIG,Công ty TNHH Giải pháp ngân hàng và tài chính HIPT (HIBF),100%
HIG,Công ty Giải pháp và Tư vấn công nghệ HIPT (HISC),100%
HIG,Trường Trung cấp nghề Kỹ nghệ thực hành HIPT,100%
HIG,Công ty TNHH Giải pháp hệ thống thông tin HIPT,100%
HIG,Công ty Cổ phần phát triển nguồn nhân lực Chân trời mới (NEWW),78.2%
SMB,Công ty TNHH MTV Thương mại Bia Quy Nhơn,100%
NVL,Công ty TNHH Nova Sagel,83.81%
NVL,CTCP Cảng Phú Định,83.45%
NVL,CTCP Khách Sạn Du Lịch Thanh Niên Vũng Tàu,65%
NVL,CTCP Phát triển Đô thị Kỷ Nguyên,51%
NVL,Công ty TNHH ĐT&PT Địa ốc Gia Huy,51%
GVR,Công ty TNHH MTV Cao su Krông Buk,100%
GVR,Công ty TNHH MTV Cao su Eah Leo,100%
NVL,CTCP Đầu tư BĐS Phong Điền,50.99%
GVR,Công ty TNHH MTV Cao su Chư Prông,100%
GVR,Công ty TNHH MTV Cao su Chư Sê,100%
GVR,Công ty TNHH MTV Cao su Kon Tum,100%
GVR,Công ty TNHH MTV Cao su Mang Yang,100%
DHG,Công ty TNHH Fuji Medi,51%
GVR,Công ty TNHH MTV Cao su Chư Păh,100%
GVR,Công ty TNHH MTV Cao su Quảng Nam,100%
GVR,Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,100%
GVR,Công ty TNHH MTV Cao su Hà Tĩnh,100%
GVR,Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,100%
GVR,Công ty TNHH MTV Cao su Thanh Hóa,100%
GVR,Công ty TNHH MTV Cao su Quảng Trị,100%
GVR,Công ty TNHH MTV Cao su Bình Thuận,100%
GVR,Công ty TNHH MTV Cao su Quảng Ngãi,100%
GVR,Viện Nghiên cứu Cao su Việt Nam,100%
GVR,Trung tâm Y tế Cao su,100%
GVR,Tạp chí Cao su Việt Nam,100%
GVR,Trường Cao đẳng Công nghiệp Cao su,100%
GVR,CTCP Cao su Điện Biên,100%
CTW,CTCP Cấp nước Thốt Nốt,86.07%
CTW,CTCP Cấp nước Trà Nóc - Ô Môn,65.42%
GVR,CTCP Cao su Hà Giang,100%
GVR,CTCP Cao su Mang Yang Ratanakiri (VN),100%
GVR,Công ty cổ phần cao su Krông Buk – Ratanakiri,100%
GVR,Công ty TNHH MTV Địa ốc Cao su Đồng Nai,100%
GVR,Công ty phát triển cao su C.R.C.K,100%
GVR,Công ty TNHH Cao su Bolikhamxay Hà Tĩnh,100%
GVR,Công ty TNHH MTV VRG Oudomxay,100%
GVR,Công ty TNHH Eah'leo BM,100%
GVR,Công ty cổ phần Cao su Mường Nhé - Điện Biên,100%
GVR,Công ty TNHH MTV Cao su Qua Van,100%
GVR,CTCP Cao su Dầu Tiếng - Lai Châu,99.97%
GVR,CTCP Cao su Chư Sê - Kompong Thom,99.95%
GVR,CTCP Cao su Chư Prông - Stung Treng,99.85%
GVR,Công ty Cổ phần Gỗ MDF VRG Kiên Giang,99.82%
GVR,CTCP Cao su Lai Châu 2,99.79%
GVR,CTCP Cao su Yên Bái,99.77%
GVR,CTCP Cao su Sơn La,99.34%
GVR,CTCP Cao su Quasa Geruco (Lào),98.98%
GVR,Công ty cổ phần Cao su Tân Biên,98.46%
GVR,Công ty cổ phần Du lịch - Thương mại - Khách sạn Hưng Yên,98.41%
GVR,CTCP Cao su Lai Châu,98.25%
GVR,CTCP Cao su Dầu Tiếng - Campuchia,97.91%
GVR,Công ty Cổ phần Cao su Bà Rịa,97.47%
GVR,Công ty TNHH VKETI,97.01%
GVR,CTCP Thương mại dịch vụ và du lịch Cao su,96.51%
GVR,Công ty cổ phần Gỗ Lộc Ninh,95.54%
GVR,CTCP cao su Sa Thầy,95.48%
GVR,CTCP Cao su Dầu Tiếng - Kratie,95%
GVR,CTCP VRG - Phú Yên,94.7%
GVR,CTCP Đầu tư phát triển cao su Nghệ An,94.56%
GVR,CTCP Cao su Bảo Lâm,93.68%
GVR,CTCP Cao su Tân Biên - KampongThom,93.11%
GVR,CTCP Cao su Bà Rịa - Kompong Thom,92.75%
GVR,CTCP Khu công nghiệp An Điền,92.67%
GVR,CTCP Thể thao Cao su Phú Riềng,92.2%
GVR,CTCP Cơ khí Cao su,92.05%
GVR,CTCP VRG - Đak Nông,91.34%
GVR,CTCP Cao su Việt Lào,89.29%
GVR,CTCP Cao su Đồng Nai - Kratie,88.67%
GVR,CTCP Cao su Dầu Tiếng Lào Cai,86.7%
GVR,CTCP Đầu tư Xây dựng Cao su Phú Thịnh,86.19%
GVR,Công ty cổ phần Gỗ MDF VRG Quảng Trị,84.85%
GVR,CTCP Công nghiệp và Xuất nhập khẩu Cao Su,82.44%
GVR,CTCP VRG Bảo Lộc,78.06%
GVR,CTCP Thủy điện VRG Ngọc Linh,77.46%
GVR,Công ty cổ phần Thủy điện Geruco Sông Côn,77.25%
GVR,CTCP Khu công nghiệp Long Khánh,75.68%
GVR,CTCP Khu công nghiệp Dầu Giây,72.75%
GVR,CTCP Phân vi sinh Quảng Trị,72.03%
GVR,CTCP Cao su Phú Riềng - Kratie,70%
GVR,CTCP Chế biến Gỗ Cao su Đồng Nai,69%
GVR,Công ty TNHH phát triển cao su Phước Hòa Kampong Thom,66.62%
GVR,Công ty cổ phần Cao su Phước Hòa,66.62%
GVR,Công ty TNHH cao su Phước Hòa Đắk Lắk,66.62%
GVR,Công ty TNHH Cao su & Lâm nghiệp Phước Hòa - Đắk Lắk,64.94%
GVR,Công ty Cổ phần Thể thao Ngôi sao Geru,64.38%
GVR,CTCP Cao su Đồng Phú Kratie,62.28%
GVR,CTCP Cơ khí Vận tải Cao su Dầu Tiếng,61.87%
GVR,CTCP Gỗ Dầu Tiếng,61%
GVR,Công ty Tây Ninh - Siêm Riệp Phát triển Cao su,60%
GVR,Công ty Cổ phần Cao su Tây Ninh,60%
GVR,Công ty Cổ phần Chế biến Gỗ Thuận An,59.69%
GVR,CTCP Khu công nghiệp Tân Bình,59.64%
GVR,Công ty Cổ phần Cao su Đồng Phú,55.81%
GVR,Công ty Cổ phần Khu công nghiệp Cao Su Bình Long,55.38%
GVR,CTCP Cao su Trường Phát,55.09%
GVR,Công ty Cổ phần Cao su Hòa Bình,55.06%
GVR,CTCP Kinh doanh Bất động sản Cao su Dầu Tiếng,54.72%
GVR,Công ty Cổ phần VRG - Khải Hoàn,51.04%
GVR,CTCP Chế biến và Xuất nhập khẩu Gỗ Tây Ninh,50.67%
GVR,Công ty Cổ phần Cao su Hàng Gòn,50%
GVR,Công ty cổ phần Xuất khẩu cao su VRG Nhật Bản,50%
GVR,CTCP Cao su Đồng Phú - Đak Nông,49.34%
GVR,Công ty CP Cao Su Dầu Tiếng Việt Lào,49%
GVR,CTCP Phân bón Thương mại Phú Thịnh,46.21%
GVR,Công ty CP Khu công nghiệp Bắc Đồng Phú,45.39%
GVR,Công ty TNHH Sản xuất Gỗ cao su Kon Tum,43.11%
GVR,CTCP Cao su Kỹ thuật Đồng Phú,41.55%
GVR,CTCP Gỗ Đồng Phú,29.02%
GVR,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,20.42%
GVR,CTCP Phát triển đô thị và Khu công nghiệp Cao su Việt Nam,15.05%
