,Company,MST,NGANH_NGHE,doanh_thu_2021,tinh
530,TỔNG CÔNG TY XI MĂNG VIỆT NAM,0100106320,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
531,TỔNG CÔNG TY PHÁT ĐIỆN 2 - CTCP,1800590430,"Sản xuất, truyền tải, phân phối điện","9,940,645",Cần Thơ
532,LIÊN DOANH VIỆT - NGA VIETSOVPETRO,3500102414,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",,Bà Rịa - Vũng Tàu
533,TẬP ĐOÀN CÔNG NGHIỆP CAO SU VIỆT NAM - CTCP,0301266564,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","5,558,860",TP Hồ Chí Minh
534,CÔNG TY TNHH MTV VÀNG BẠC ĐÁ QUÝ SÀI GÒN - SJC,0301045759,"Bán lẻ vàng, bạc và kim loại quý khác",,TP Hồ Chí Minh
535,CÔNG TY TNHH MTV TỔNG CÔNG TY TÂN CẢNG SÀI GÒN,0300514849,"Kho bãi, bốc xếp hàng hóa",,Điện Biên
536,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,0102595740,"Bưu chính, chuyển phát",,Hà Nội
537,CÔNG TY TNHH ZUELLIG PHARMA VIỆT NAM,0100915699,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,Hà Nội
538,TỔNG CÔNG TY CP DỊCH VỤ KỸ THUẬT DẦU KHÍ VIỆT NAM,0100150577,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","3,811,176",TP Hồ Chí Minh
539,TỔNG CÔNG TY CP ĐẦU TƯ QUỐC TẾ VIETTEL,0102409426,Viễn thông,"5,850,500",Hà Nội
540,CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM,0300816663,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,TP Hồ Chí Minh
541,TỔNG CÔNG TY THUỐC LÁ VIỆT NAM,0101216069,"Sản xuất, chế biến và kinh doanh thuốc lá",,Hà Nội
542,TỔNG CÔNG TY ĐÔNG BẮC,5700101468,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,Quảng Ninh
543,TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,0102743068,"Sản xuất, truyền tải, phân phối điện",,Hà Nội
544,"CENTRAL RETAIL (GO! BIG C, TOP MARKET)",0105696842,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,TP Hồ Chí Minh
545,CÔNG TY TNHH OLAM VIỆT NAM,6000346337,Hoạt động nông nghiệp khác,,Đắk Nông
546,TỔNG CÔNG TY CP BƯU CHÍNH VIETTEL,0104093672,"Bưu chính, chuyển phát","21,452,032",Hà Nội
547,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ DAI-ICHI VIỆT NAM,0301851276,Bảo hiểm,,TP Hồ Chí Minh
548,CÔNG TY TNHH CALOFIC,5700101362,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,Quảng Ninh
549,CÔNG TY TNHH CJ VINA AGRI,1100439762,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Long An
550,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ AIA (VIỆT NAM),0301930337,Bảo hiểm,,TP Hồ Chí Minh
551,CÔNG TY TNHH CARGILL VIỆT NAM,3600233178,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
552,TỔNG CÔNG TY LƯƠNG THỰC MIỀN BẮC,0100102608,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Hà Nội
553,CÔNG TY TNHH YAMAHA MOTOR VIỆT NAM,0100774342,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Hà Nội
554,TẬP ĐOÀN DỆT MAY VIỆT NAM,0100100008,"Sản xuất, kinh doanh sợi, sản phẩm dệt","16,002,865",Hà Nội
555,CÔNG TY TNHH DE HEUS,3701091716,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Vĩnh Long
556,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),0302249586,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,TP Hồ Chí Minh
557,CÔNG TY TNHH JAPFA COMFEED VIỆT NAM,2500175548,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Vĩnh Phúc
558,TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,0100104468,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,Hà Nội
559,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,0101057919,Ngân hàng,,Hà Nội
560,CÔNG TY TNHH ĐIỆN LỰC AES MÔNG DƯƠNG,5701384498,"Sản xuất, truyền tải, phân phối điện",,Quảng Ninh
561,CÔNG TY CP ACECOOK VIỆT NAM,0300808687,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,TP Hồ Chí Minh
562,TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT,0101527385,Bảo hiểm,,Hà Nội
563,CÔNG TY TNHH NHÀ NƯỚC MTV THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL,0104831030,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,Hà Nội
564,CÔNG TY CP VIỆT - PHÁP SẢN XUẤT THỨC ĂN GIA SÚC (PROCONCO),3600234534,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
565,TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,0100104595,Vận tải đường biển,,Hà Nội
566,CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,3700306630,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Bình Dương
567,CÔNG TY CP GREENFEED VIỆT NAM,1100598642,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Long An
568,TỔNG CÔNG TY THƯƠNG MẠI XUẤT NHẬP KHẨU THANH LỄ - CTCP,3700146458,Kinh doanh xăng dầu và các sản phẩm liên quan,"11,901,762",Bình Dương
569,TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MTV,0300100037,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,TP Hồ Chí Minh
570,TỔNG CÔNG TY CẢNG HÀNG KHÔNG VIỆT NAM - CTCP,0311638525,Hoạt động khác hỗ trợ cho vận tải,"4,752,036",TP Hồ Chí Minh
571,CÔNG TY CP THỰC PHẨM SỮA TH,0103414411,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",,TP Hồ Chí Minh
572,CÔNG TY CP GANG THÉP THÁI NGUYÊN,4600100155,"Sản xuất, gia công kim loại, sắt thép, kim khí…","12,857,295",Thái Nguyên
573,CÔNG TY CP DAIKIN AIR CONDITIONING (VIETNAM),0301450108,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
574,CÔNG TY CP DỆT RENZE,3600852146,"Sản xuất, kinh doanh sợi, sản phẩm dệt",,Đồng Nai
575,CÔNG TY TNHH MTV DỊCH VỤ CƠ KHÍ HÀNG HẢI PTSC,3500790168,Công nghiệp đóng tàu và thuyền,,Bà Rịa - Vũng Tàu
576,CÔNG TY CP XI MĂNG VICEM HÀ TIÊN,0301446422,"Sản xuất, kinh doanh vật liệu xây dựng","7,064,342",TP Hồ Chí Minh
577,TỔNG CÔNG TY PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ - CTCP,0303165480,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","12,786,141",TP Hồ Chí Minh
578,CÔNG TY TNHH DENSO VIỆT NAM,0101210878,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Hà Nội
579,TỔNG CÔNG TY CP BIA - RƯỢU - NƯỚC GIẢI KHÁT HÀ NỘI,0101376672,"Sản xuất, chế biến và kinh doanh đồ uống có cồn","6,950,539",Hà Nội
580,TỔNG CÔNG TY ĐẦU TƯ VÀ KINH DOANH VỐN NHÀ NƯỚC-CÔNG TY TNHH,0101992921,Dịch vụ tài chính khác,,Hà Nội
581,NGÂN HÀNG TNHH MTV SHINHAN VIỆT NAM,0309103635,Ngân hàng,,TP Hồ Chí Minh
582,CÔNG TY CP PHÂN BÓN DẦU KHÍ CÀ MAU,2001012298,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","9,869,763",Cà Mau
583,TỔNG CÔNG TY CP VẬN TẢI DẦU KHÍ,0302743192,Vận tải đường biển,"7,460,234",TP Hồ Chí Minh
584,CÔNG TY CP PHÂN PHỐI KHÍ THẤP ÁP DẦU KHÍ VIỆT NAM,0304998686,Kinh doanh xăng dầu và các sản phẩm liên quan,"8,996,080",TP Hồ Chí Minh
585,CÔNG TY CP HỮU HẠN VEDAN VIỆT NAM,3600239719,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,Đồng Nai
586,CÔNG TY TNHH AEON VIỆT NAM,0311241512,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,TP Hồ Chí Minh
587,CÔNG TY CP GIAO HÀNG TIẾT KIỆM,0106181807,"Bưu chính, chuyển phát",,Hà Nội
588,CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,3700229344,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",,Bình Dương
589,TỔNG CÔNG TY KHÁNH VIỆT,4200486169,"Sản xuất, chế biến và kinh doanh thuốc lá",,Khánh Hòa
590,TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,3700145020,Kinh doanh bất động sản,"6,989,749",Bình Dương
591,CÔNG TY TNHH KIMBERLY CLARK VIỆT NAM,0100114522,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,Bình Dương
592,CÔNG TY TNHH FURUKAWA AUTOMOTIVE PARTS (VIETNAM),0300797153,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
593,TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN NHÀ VÀ ĐÔ THỊ (HUD),0100106144,Kinh doanh bất động sản,,Hà Nội
594,TỔNG CÔNG TY CP CÔNG TRÌNH VIETTEL,0104753865,Hoạt động xây dựng khác,"7,446,888",Hà Nội
595,TỔNG CÔNG TY SÔNG ĐÀ - CTCP,0100105870,Xây dựng,"1,559,852",Hà Nội
596,CÔNG TY TNHH EXPEDITORS VIỆT NAM,0312545104,Vận tải đường biển,,TP Hồ Chí Minh
597,CÔNG TY CP TETRA PAK VIỆT NAM,0302803331,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,TP Hồ Chí Minh
598,TỔNG CÔNG TY LẮP MÁY VIỆT NAM-CÔNG TY TNHH MTV,0100106313,Xây dựng,"3,826,142",Hà Nội
599,CÔNG TY CP KIM LOẠI MÀU VÀ NHỰA ĐỒNG VIỆT,0309174756,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,TP Hồ Chí Minh
600,CÔNG TY CP ĐIỆN LỰC DẦU KHÍ NHƠN TRẠCH 2,3600897316,"Sản xuất, truyền tải, phân phối điện","6,149,584",Đồng Nai
601,TỔNG CÔNG TY CẤP NƯỚC SÀI GÒN - TNHH MTV,0301129367,"Cung cấp, kinh doanh nước",,TP Hồ Chí Minh
602,CÔNG TY TNHH THỰC PHẨM ORION VINA,3700667933,"Sản xuất, chế biến và kinh doanh bánh kẹo",,Bình Dương
603,CÔNG TY CP THƯƠNG MẠI KIÊN GIANG,1700523208,Kinh doanh xăng dầu và các sản phẩm liên quan,"5,675,011",Kiên Giang
604,TỔNG CÔNG TY CƠ KHÍ GIAO THÔNG VẬN TẢI SÀI GÒN - TNHH MTV,0300481551,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,TP Hồ Chí Minh
605,TỔNG CÔNG TY HÓA DẦU PETROLIMEX - CTCP,0101463614,Kinh doanh xăng dầu và các sản phẩm liên quan,"6,868,374",Hà Nội
606,CÔNG TY LIÊN DOANH SẢN XUẤT THÉP VINAUSTEEL,0200108811,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hải Phòng
607,CÔNG TY TNHH THƯƠNG MẠI KHATOCO,4200485207,"Sản xuất, chế biến và kinh doanh thuốc lá",,Khánh Hòa
608,CÔNG TY CP PHÂN BÓN BÌNH ĐIỀN,0302975517,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","7,742,796",TP Hồ Chí Minh
609,TỔNG CÔNG TY CP KHOAN VÀ DỊCH VỤ KHOAN DẦU KHÍ,0302495126,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","3,995,472",TP Hồ Chí Minh
610,CÔNG TY TNHH SIAM CITY CEMENT (VIETNAM) (INSEE),0300608568,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
611,TỔNG CÔNG TY DƯỢC VIỆT NAM - CTCP,0100109385,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","4,873,577",Hà Nội
612,CÔNG TY TNHH URC VIỆT NAM,3700549827,"Sản xuất, chế biến và kinh doanh bánh kẹo",,Bình Dương
613,CÔNG TY TNHH MTV HERBALIFE VIỆT NAM,0309069208,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,TP Hồ Chí Minh
614,TỔNG CÔNG TY CP PHÁT TRIỂN KHU CÔNG NGHIỆP,3600335363,Kinh doanh bất động sản,"5,187,424",Đồng Nai
615,CÔNG TY CP VIỆT NAM KỸ NGHỆ SÚC SẢN (VISSAN),0300105356,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh","4,292,766",TP Hồ Chí Minh
616,NGÂN HÀNG TNHH MTV HSBC (VIỆT NAM),0301232798,Ngân hàng,,TP Hồ Chí Minh
617,CÔNG TY CP GIAO NHẬN TOÀN CẦU DHL (VIỆT NAM),0305707643,Hoạt động khác hỗ trợ cho vận tải,,TP Hồ Chí Minh
618,CÔNG TY TNHH LE LONG VIỆT NAM,1100102656,"Sản xuất, kinh doanh thiết bị điện",,Long An
619,TỔNG CÔNG TY CÔNG NGHIỆP MỎ VIỆT BẮC TKV - CTCP,0100100015,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,Hà Nội
620,CÔNG TY TÔN PHƯƠNG NAM,3600236891,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Đồng Nai
621,CÔNG TY CP CÔNG NGHIỆP CAO SU MIỀN NAM,0300419930,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","4,839,508",TP Hồ Chí Minh
622,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ CHUBB VIỆT NAM,0303845969,Bảo hiểm,,TP Hồ Chí Minh
623,CÔNG TY TNHH MTV XI MĂNG VICEM HOÀNG THẠCH,0800004797,"Sản xuất, kinh doanh vật liệu xây dựng",,Hải Dương
624,TỔNG CÔNG TY IDICO - CTCP,0302177966,Xây dựng,"4,301,236",TP Hồ Chí Minh
625,CÔNG TY CP CÁP ĐIỆN THỊNH PHÁT,0315767095,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
626,CÔNG TY TNHH GROBEST INDUSTRIAL (VIỆT NAM),3600456424,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
627,CÔNG TY CP MONDELEZ KINH ĐÔ VIỆT NAM,3700599641,"Sản xuất, chế biến và kinh doanh bánh kẹo",,Bình Dương
628,TỔNG CÔNG TY MÁY ĐỘNG LỰC VÀ MÁY NÔNG NGHIỆP VIỆT NAM - CTCP,0100103866,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","4,019,247",Hà Nội
629,CÔNG TY CP DINH DƯỠNG NÔNG NGHIỆP QUỐC TẾ,3600618918,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
630,CÔNG TY CP ĐIỆN LỰC KHÁNH HÒA,4200601069,"Sản xuất, truyền tải, phân phối điện","4,361,399",Khánh Hòa
631,CÔNG TY TNHH THƯƠNG MẠI CARLSBERG VIỆT NAM,0102314245,"Sản xuất, chế biến và kinh doanh đồ uống có cồn",,Thừa Thiên Huế
632,CÔNG TY TÀI CHÍNH TNHH HD SAISON,0304990133,Dịch vụ tài chính khác,,TP Hồ Chí Minh
633,TỔNG CÔNG TY CÔNG NGHIỆP SÀI GÒN - TNHH MTV,0300713668,"Sản xuất, chế biến và kinh doanh thuốc lá",,TP Hồ Chí Minh
634,CÔNG TY CP DƯỢC HẬU GIANG,1800156801,"Sản xuất dược phẩm, thiết bị y tế","4,003,170",Cần Thơ
635,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,1800157562,"Dịch vụ vui chơi, giải trí",,Cần Thơ
636,CÔNG TY TNHH TOTO VIỆT NAM,0101225306,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
637,CÔNG TY CP CÁN THÉP THÁI TRUNG,4600451322,"Sản xuất, gia công kim loại, sắt thép, kim khí…","6,066,999",Thái Nguyên
638,CÔNG TY TNHH NHỰA VÀ HÓA CHẤT TPC VINA,3600248368,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Đồng Nai
639,CÔNG TY CP TẬP ĐOÀN MAVIN,0900841823,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Hưng Yên
640,CÔNG TY TNHH MTV TỔNG CÔNG TY 28,0300516772,"Sản xuất, kinh doanh sợi, sản phẩm dệt",,TP Hồ Chí Minh
641,NGÂN HÀNG TNHH MTV STANDARD CHARTERED (VIỆT NAM),0103617147,Ngân hàng,,Hà Nội
642,CÔNG TY TNHH PHÁT TRIỂN PHÚ MỸ HƯNG,0300604002,Kinh doanh bất động sản,,TP Hồ Chí Minh
643,CÔNG TY TNHH BẢO HIỂM HANWHA LIFE VIỆT NAM,0305774706,Bảo hiểm,,TP Hồ Chí Minh
644,NGÂN HÀNG TNHH INDOVINA,0300733752,Ngân hàng,,TP Hồ Chí Minh
645,CÔNG TY TNHH CÔNG NGHIỆP CHÍNH XÁC VIỆT NAM 1,2500213190,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Vĩnh Phúc
646,CÔNG TY TNHH LOUIS DREYFUS COMMODITIES VIỆT NAM,5900424466,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,Gia Lai
647,TỔNG CÔNG TY TRUYỀN THÔNG (VNPT-MEDIA),0106873188,Viễn thông,,Hà Nội
648,CÔNG TY SẢN XUẤT THÉP ÚC SSE,0200373471,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hải Phòng
649,CÔNG TY TNHH MTV XUẤT NHẬP KHẨU 2/9 ĐẮK LẮK,6000234538,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,Đắk Lắk
650,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,1900135322,"Dịch vụ vui chơi, giải trí",,Bạc Liêu
651,CÔNG TY CP THANH TOÁN ĐIỆN TỬ VNPT,0102713659,Hoạt động thông tin khác,,Hà Nội
652,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ MB AGEAS,0107520795,Bảo hiểm,,Hà Nội
653,CÔNG TY CP PIN ẮC QUY MIỀN NAM,0300405462,"Sản xuất, kinh doanh thiết bị điện","907,737",TP Hồ Chí Minh
654,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT SÓC TRĂNG,2200108572,"Dịch vụ vui chơi, giải trí",,Sóc Trăng
655,CÔNG TY CP TƯ VẤN XÂY DỰNG ĐIỆN 2,0300420157,Dịch vụ khác,"3,629,141",TP Hồ Chí Minh
656,CÔNG TY TNHH SẢN XUẤT BỘT MỲ VIMAFLOUR,5700101210,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Quảng Ninh
657,CÔNG TY TNHH THÉP KYOEI VIỆT NAM,2700631318,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Ninh Bình
658,TỔNG CÔNG TY CP DỆT MAY HOÀ THỌ,0400101556,"Sản xuất, kinh doanh trang phục","3,863,510",Đà Nẵng
659,CÔNG TY CP VẬT TƯ - TKV,5700100707,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Quảng Ninh
660,CÔNG TY TNHH GANG THÉP TUYÊN QUANG,5000230718,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Tuyên Quang
661,CÔNG TY TNHH NHÀ NƯỚC MTV YẾN SÀO KHÁNH HÒA,4200338918,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,Khánh Hòa
662,CÔNG TY TNHH MTV TỔNG CÔNG TY THÁI SƠN,0300533471,Kinh doanh bất động sản,,TP Hồ Chí Minh
663,CÔNG TY TNHH DINH DƯỠNG Á CHÂU (VN),3600233805,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
664,CÔNG TY CP BỘT GIẶT LIX,0301444263,"Sản xuất, kinh doanh hóa mỹ phẩm","2,613,003",TP Hồ Chí Minh
665,TỔNG CÔNG TY CP BẢO HIỂM PETROLIMEX,0100110768,Bảo hiểm,"3,037,019",Hà Nội
666,CÔNG TY CP DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,0300483319,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","2,450,389",TP Hồ Chí Minh
667,TỔNG CÔNG TY GAS PETROLIMEX - CTCP,0101447725,Kinh doanh xăng dầu và các sản phẩm liên quan,"3,362,912",Hà Nội
668,TỔNG CÔNG TY CHĂN NUÔI VIỆT NAM - CTCP,0100104443,Chăn nuôi,"2,928,252",Hà Nội
669,TỔNG CÔNG TY 319,0100108984,Xây dựng,,Hà Nội
670,CÔNG TY TNHH MTV APATIT VIỆT NAM,5300100276,Khai khoáng khác và kinh doanh các sản phẩm khác từ khai khoáng,,Lào Cai
671,CÔNG TY TNHH MTV DƯỢC SÀI GÒN,0300523385,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,TP Hồ Chí Minh
672,CÔNG TY TNHH LIÊN DOANH ỐNG THÉP SENDO,3502280821,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Bà Rịa - Vũng Tàu
673,CÔNG TY CP CAO SU PHƯỚC HÒA,3700147532,Trồng trọt,"1,945,435",Bình Dương
674,TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,0100203476,Kinh doanh bất động sản,,Hà Nội
675,CÔNG TY THƯƠNG MẠI DỊCH VỤ TRÀNG THI,0100107437,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
676,CÔNG TY TNHH TRUYỀN HÌNH CÁP SAIGONTOURIST,0301463315,"Truyền hình, phát thanh, phim ảnh",,TP Hồ Chí Minh
677,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ HAI SÁU SÁU,0303781761,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,TP Hồ Chí Minh
678,CÔNG TY TNHH QUỐC TẾ LIÊN DOANH VINACONEX - TAISEI (VINATA),0100113494,Xây dựng,,Hà Nội
679,TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG ĐÔ THỊ UDIC - CÔNG TY TNHH MTV,0100106232,Xây dựng,,Hà Nội
680,TỔNG CÔNG TY VẬN TẢI HÀ NỘI,0101148154,Vận tải đường bộ,,Hà Nội
681,CÔNG TY TNHH HEWLETT - PACKARD VIỆT NAM,0300539709,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,TP Hồ Chí Minh
682,CÔNG TY TNHH MIWON VIỆT NAM,2600109933,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,Phú Thọ
683,CÔNG TY CP THÉP TOP PRO,1100798176,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Long An
684,CÔNG TY TNHH KINH DOANH LỐP XE BRIDGESTONE VIỆT NAM,0309875328,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,TP Hồ Chí Minh
685,CÔNG TY CP LUYỆN KIM TÂN NGUYÊN HẢI DƯƠNG VIỆT NAM,0800740412,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hải Dương
686,TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,0100106338,Xây dựng,"2,413,517",Hà Nội
687,CÔNG TY CP CẢNG HẢI PHÒNG,0200236845,"Kho bãi, bốc xếp hàng hóa","2,284,630",Hải Phòng
688,CÔNG TY CP PHÁT TRIỂN HẠ TẦNG KỸ THUẬT,3700805566,Kinh doanh bất động sản,"2,601,723",Bình Dương
689,TỔNG CÔNG TY CP BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM,0100931299,Bảo hiểm,"2,155,107",Hà Nội
690,CÔNG TY TNHH ROCHDALE SPEARS,3700370643,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,Bình Dương
691,CÔNG TY TNHH BACONCO,3500101065,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,Bà Rịa - Vũng Tàu
692,CÔNG TY CP CÔNG NGHIỆP NHỰA PHÚ LÂM,0200109445,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Hải Phòng
693,CÔNG TY TNHH LIÊN DOANH SẢN XUẤT ÔTÔ NGÔI SAO,3700229030,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Bình Dương
694,TỔNG CÔNG TY GIẤY VIỆT NAM,2600357502,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,Hà Nội
695,CÔNG TY CP HANACANS,2300372796,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Bắc Ninh
