,Company,CEO,MST,NGANH_NGHE,Type,doanh_thu_2020,doanh_thu_2021,tinh
138,CÔNG TY CP NHỰA BÌNH MINH,Nguyễn Hoàng Ngân,0301464823,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,"4,685,640","4,552,757",Hậu Giang
139,CÔNG TY CP ĐẦU TƯ DỊCH VỤ TÀI CHÍNH HOÀNG HUY,Trần Thị Hoàng Hà,0200117929,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,"4,419,421","2,755,985",Hải Phòng
140,CÔNG TY CP ĐẦU TƯ XÂY DỰNG NEWTECONS,Trần Kim Long,0303103212,Xây dựng,1,,,TP Hồ Chí Minh
141,NGÂN HÀNG TMCP BẢN VIỆT,Ngô Quang Trung,0301378892,Ngân hàng,1,,,TP Hồ Chí Minh
142,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH NHÀ KHANG ĐIỀN,Vương Văn Minh,0302588596,Kinh doanh bất động sản,1,"4,532,069","3,738,368",TP Hồ Chí Minh
143,CÔNG TY CP NHỰA THIẾU NIÊN TIỀN PHONG,Chu Văn Phương,0200167782,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,"4,486,111","4,823,525",Hải Phòng
144,CÔNG TY CP HƯNG THỊNH INCONS,Trần Tiến Thanh,0305371707,Xây dựng,1,,,TP Hồ Chí Minh
145,CÔNG TY CP CHỨNG KHOÁN SSI,Nguyễn Hồng Nam,0301955155,Chứng khoán,1,"2,007,560","1,629,086",TP Hồ Chí Minh
146,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG,Đào Thế Vinh,0102721191,Ẩm thực,1,,,Hà Nội
147,CÔNG TY CP Á ĐÔNG ADG,Hồ Hoàng Bảo Vinh,0308113486,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,TP Hồ Chí Minh
148,CÔNG TY CP ĐẦU TƯ VÀ THƯƠNG MẠI TNG,Nguyễn Văn Thời,4600305723,"Sản xuất, kinh doanh trang phục",1,"4,480,200","5,443,607",Bắc Kạn
149,CÔNG TY CP THỰC PHẨM SAO TA,Phạm Hoàng Việt,2200208753,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,"4,415,217","5,199,105",Sóc Trăng
150,CÔNG TY CP GIAO NHẬN VẬN TẢI CON ONG,Đinh Hữu Thạnh,0303482440,Hoạt động khác hỗ trợ cho vận tải,1,,,TP Hồ Chí Minh
151,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,Trần Quý Thanh,0301387752,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",1,,,Bình Dương
152,CÔNG TY CP DÂY VÀ CÁP ĐIỆN THƯỢNG ĐÌNH,Phạm Lương Hòa,0100892628,"Sản xuất, kinh doanh thiết bị điện",1,,,Hà Nội
153,CÔNG TY TNHH XUÂN LỘC THỌ,Trần Thị Thu Hà,0100736347,"Sản xuất, kinh doanh thiết bị điện",1,,,Hà Nội
154,CÔNG TY CP TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,Hồ Xuân Năng,0104961939,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hà Nội
155,CÔNG TY CP THƯƠNG NGHIỆP CÀ MAU,Nguyễn Thị Việt Ánh,2000110221,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",1,"4,222,075","3,861,507",Cà Mau
156,NGÂN HÀNG TMCP KIÊN LONG,Trần Ngọc Minh,1700197787,Ngân hàng,1,"952,429","1,930,960",Kiên Giang
157,CÔNG TY CP TẬP ĐOÀN HƯNG THỊNH,Nguyễn Đình Trung,0305410561,Kinh doanh bất động sản,1,,,TP Hồ Chí Minh
158,CÔNG TY CP THÉP VIỆT Ý,Nguyễn Thanh Hà,0900222647,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Hưng Yên
159,CÔNG TY CP TẬP ĐOÀN IPC,Phí Phong Hà,0102055583,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Hà Nội
160,CÔNG TY CP AN TIẾN INDUSTRIES,Đặng Thị Quỳnh Phương,5200466372,Hoạt động công nghiệp khác,1,"4,082,730","8,265,252",Yên Bái
161,CÔNG TY CP TẬP ĐOÀN THÉP TIẾN LÊN,Phạm Thị Hồng,3600512830,"Kinh doanh kim loại, sắt thép, kim khí…",1,"4,084,531","4,644,781",Đồng Nai
162,CÔNG TY CP ABC VIỆT NAM,Nguyễn Thị Dịu,0900254448,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,,,Hưng Yên
163,CÔNG TY CP ĐẦU TƯ PHAN VŨ,Phan Khắc Long,0302217087,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,TP Hồ Chí Minh
164,TỔNG CÔNG TY MAY NHÀ BÈ - CTCP,Phạm Phú Cường,0300398889,"Sản xuất, kinh doanh trang phục",1,"4,021,389","3,081,071",TP Hồ Chí Minh
165,CÔNG TY TNHH KẾT CẤU THÉP 568,Phạm Ngọc Lan,0900273306,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Hưng Yên
166,TỔNG CÔNG TY CP BẢO MINH,Vũ Anh Tuấn,0300446973,Bảo hiểm,1,"3,791,577","3,768,684",Thái Bình
167,CÔNG TY CP CHỨNG KHOÁN VPS,Nguyễn Lâm Dũng,0104979904,Chứng khoán,1,,,Hà Nội
168,CÔNG TY CP THUẬN HẢI,Dương Thanh Hải,0305601319,"Khai thác, kinh doanh than và hoạt động hỗ trợ",1,,,TP Hồ Chí Minh
169,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THÀNH TÍN,Trần Thanh Nga,2200208834,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,Sóc Trăng
170,CÔNG TY CP PHÁT TRIỂN BẤT ĐỘNG SẢN PHÁT ĐẠT,Bùi Quang Anh Vũ,0303493756,Kinh doanh bất động sản,1,,,TP Hồ Chí Minh
171,CÔNG TY CP GỖ AN CƯỜNG,Lê Đức Nghĩa,3700748131,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",1,,,Bình Dương
172,CÔNG TY CP LIZEN,Tăng Quốc Thuộc,0302310209,Xây dựng,1,"3,536,255","1,802,654",TP Hồ Chí Minh
173,CÔNG TY CP MAY SÔNG HỒNG,Bùi Đức Thịnh,0600333307,"Sản xuất, kinh doanh trang phục",1,"3,813,409","4,747,623",Nam Định
174,CÔNG TY CP TẬP ĐOÀN SUNHOUSE,Nguyễn Xuân Phú,0101976905,"Sản xuất, kinh doanh đồ dùng gia đình",1,,,Điện Biên
175,CÔNG TY TNHH THỨC ĂN GIA SÚC LÁI THIÊU,Nguyễn Thị Kim Anh,3700149709,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,,,Bình Dương
176,CÔNG TY CP ĐẦU TƯ TỔNG HỢP HÀ NỘI,Nguyễn Đại Hải,0102287094,Kinh doanh bất động sản,1,"3,657,493","3,745,725",Hà Nội
177,CÔNG TY CP PHÚC SINH,Phan MinhThông,0302401061,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",1,,,TP Hồ Chí Minh
178,CÔNG TY CP THỰC PHẨM Á CHÂU,Nguyễn Mạnh Hà,3700150020,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,Bình Dương
179,CÔNG TY CP CÔNG NGHỆ VÀ DỊCH VỤ IMEDIA,Phạm Ngọc Tú,0105837941,Viễn thông,1,,,Hà Nội
180,CÔNG TY TNHH TẬP ĐOÀN BIM - BIM GROUP,Đoàn Quốc Huy,5700103433,Kinh doanh bất động sản,1,,,Quảng Ninh
181,CÔNG TY CP TẬP ĐOÀN VITTO,Nguyễn Xuân Quang,2500578360,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Vĩnh Phúc
182,CÔNG TY CP CASPER VIỆT NAM,Nguyễn Viết Chung,0107009894,"Sản xuất, kinh doanh thiết bị điện",1,,,Hà Nội
183,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MINH NGỌC,Đồng Tuấn Vũ,0900237146,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,,,Hưng Yên
184,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ DẦU KHÍ HẢI PHÁT,Phạm Thị Thu Tâm,3603262480,Kinh doanh xăng dầu và các sản phẩm liên quan,1,,,Đồng Nai
185,CÔNG TY CP DATVIET VAC GROUP HOLDINGS,Đinh Bá Thành,0315744468,Quảng cáo và nghiên cứu thị trường,1,,,TP Hồ Chí Minh
186,CÔNG TY TNHH THƯƠNG MẠI-DỊCH VỤ-XUẤT NHẬP KHẨU TƯỜNG NGUYÊN,Lê Thị Hoa,1400683063,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",1,,,Đồng Tháp
187,CÔNG TY CP ĐẦU TƯ NĂM BẢY BẢY,Lưu Hải Ca,0303885305,Kinh doanh bất động sản,1,"3,500,670","565,232",TP Hồ Chí Minh
188,CÔNG TY CP NHỰA ĐỒNG NAI,Nguyễn Văn Hiếu,3600662561,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Đồng Nai
189,CÔNG TY CP SẢN XUẤT KINH DOANH XUẤT NHẬP KHẨU BÌNH THẠNH,Nguyễn Gia Vinh,0302181666,Hoạt động công nghiệp khác,1,"3,456,745","4,150,320",TP Hồ Chí Minh
190,CÔNG TY CP DỆT MAY - ĐẦU TƯ - THƯƠNG MẠI THÀNH CÔNG,JUNG SUNG KWAN,0301446221,"Sản xuất, kinh doanh trang phục",1,"3,469,717","3,535,416",TP Hồ Chí Minh
191,CÔNG TY CP GENTRACO,Nguyễn Trung Kiên,1800241743,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,TP Hồ Chí Minh
192,TỔNG CÔNG TY MAY 10 - CTCP,Thân Đức Việt,0100101308,"Sản xuất, kinh doanh trang phục",1,"3,447,303","3,467,349",Hà Nội
193,CÔNG TY CP TRANSIMEX,Lê Duy Hiệp,0301874259,Hoạt động khác hỗ trợ cho vận tải,1,"3,418,341","6,381,266",TP Hồ Chí Minh
194,CÔNG TY CP DỊCH VỤ & KỸ THUẬT CƠ ĐIỆN LẠNH R.E.E,Phạm Công Pháp,0302660700,Hoạt động xây dựng khác,1,,,TP Hồ Chí Minh
195,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU VIỆT HÀN,Phạm Thị Yến,0101325854,"Sản xuất, kinh doanh thiết bị điện",1,,,Hà Nội
196,"CÔNG TY CP DỊCH VỤ LẮP ĐẶT, VẬN HÀNH VÀ BẢO DƯỠNG CÔNG TRÌNH DẦU KHÍ BIỂN PTSC",Dương Hùng Văn,3500818790,Dịch vụ khác,1,"3,402,137","2,094,113",Bà Rịa - Vũng Tàu
197,CÔNG TY CP DƯỢC PHẨM THIẾT BỊ Y TẾ HÀ NỘI,Đinh Văn Đông,0100109699,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",1,,,Hà Nội
198,CÔNG TY CP NHỰA CHÂU ÂU,Hoàng Quốc Huy,0700253609,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Hà Nam
199,CÔNG TY CP MASCOPEX,Ngô Xuân Nam,4200236666,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",1,,,Khánh Hòa
200,CÔNG TY CP PHÁT HÀNH SÁCH TP. HỒ CHÍ MINH - FAHASA,Phạm Minh Thuận,0304132047,"Bán lẻ sách, báo, tạp chí, văn phòng phẩm",1,"3,281,417","2,748,785",TP Hồ Chí Minh
201,CÔNG TY CỔ PHẦN TẬP ĐOÀN NOVA CONSUMER,Tôn Thất Đề,0301447257,Nông nghiệp,1,,,TP Hồ Chí Minh
202,CÔNG TY CP LEC GROUP,Trần Đức Tuân,3502380495,Hoạt động khác hỗ trợ cho vận tải,1,,,Bà Rịa - Vũng Tàu
203,CÔNG TY CP CHỨNG KHOÁN KỸ THƯƠNG,Nguyễn Thị Thu Hiền,0102935813,Chứng khoán,1,,,Hà Nội
204,CÔNG TY CP THƯƠNG MẠI HIỆP HƯƠNG,Trương Công Hiệp,0100953567,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",1,,,Hà Nội
205,CÔNG TY CP VẬT TƯ HẬU GIANG,Lê Hoàng Nam,1800506679,"Sản xuất, kinh doanh vật liệu xây dựng",1,"3,218,928","3,087,570",Cần Thơ
206,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT TƯỜNG VIỆT,Dương Tấn Trước,0302853607,"Sản xuất, kinh doanh thiết bị điện",1,,,TP Hồ Chí Minh
207,CÔNG TY CP FECON,Nguyễn Văn Thanh,0101502599,Hoạt động xây dựng khác,1,"3,154,194","3,484,219",Hà Nội
208,CÔNG TY CP CÔNG NGHỆ ELITE,Trần Hoài Phương Chi,0303853575,Hoạt động thông tin khác,1,,,TP Hồ Chí Minh
209,TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Ông Hoàng Văn Tăng,3500101107,Kinh doanh bất động sản,1,"2,487,174","2,568,689",Bà Rịa - Vũng Tàu
210,CÔNG TY CP THÉP ASEAN,Hồ Văn Phương,6000746180,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Đắk Lắk
211,CÔNG TY CP UNIBEN,Vũ Tiến Dũng,0301442989,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,Bình Dương
212,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP TUẤN VIỆT,Lê Thị Nữ,3100261120,"Sản xuất, chế biến và kinh doanh đường",1,,,Quảng Bình
213,CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Trần Chiến Công,3700145694,Hoạt động xây dựng khác,1,"3,025,337","3,118,867",Bình Dương
214,CÔNG TY TNHH PHÂN PHỐI TIÊN TIẾN,Trương Quốc Chí,0303549039,"Sản xuất, kinh doanh đồ dùng gia đình",1,,,TP Hồ Chí Minh
215,CÔNG TY TNHH PHÁT TÀI,Lê Phát Long,1400105785,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,Đồng Tháp
216,CÔNG TY CP DỊCH VỤ TRỰC TUYẾN CỘNG ĐỒNG VIỆT,Ngô Trung Lĩnh,0305458683,Ngân hàng,1,,,TP Hồ Chí Minh
217,CÔNG TY CP TẬP ĐOÀN ĐẤT XANH,Bùi Ngọc Đức,0303104343,Kinh doanh bất động sản,1,"2,890,654","10,089,385",TP Hồ Chí Minh
218,CÔNG TY CP THAIHOLDINGS,Nguyễn Văn Dũng,0105202998,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",1,"1,820,617","8,242,532",Hà Nội
219,CÔNG TY TNHH MTV THỰC PHẨM VÀ ĐẦU TƯ FOCOCEV,Đào Quý Chung,0400101588,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,TP Hồ Chí Minh
220,CÔNG TY CP TẬP ĐOÀN ĐỨC TƯỜNG,Nguyễn Đức Tường,1701884951,"Sản xuất, kinh doanh thiết bị điện",1,,,Kiên Giang
221,CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP VÀ VẬN TẢI,Bùi Thiện Phương Đông,0300482393,Xây dựng,1,"2,852,633","3,111,846",TP Hồ Chí Minh
222,CÔNG TY CP ĐẦU TƯ NAM LONG,Trần Xuân Ngọc,0301438936,Kinh doanh bất động sản,1,"2,216,719","5,205,519",TP Hồ Chí Minh
223,CÔNG TY CP KẾT CẤU THÉP ATAD,Nguyễn Lê Anh Tuấn,1100641143,Xây dựng,1,,,Long An
224,CÔNG TY CP DINH DƯỠNG HỒNG HÀ,Đỗ Đức Tiến,0700220547,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,,,Hà Nam
225,CÔNG TY CP XÂY DỰNG AN PHONG,Nguyễn Khắc Phong,0304621513,Xây dựng,1,,,TP Hồ Chí Minh
226,CÔNG TY CP CƠ KHÍ XÂY DỰNG AMECC,Ngô Quốc Thịnh,0200786983,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,"2,982,563","2,677,988",Hải Phòng
227,CÔNG TY CP SẢN XUẤT VÀ THƯƠNG MẠI P.P,Phan Thị Thu Hương,0101437981,Hoạt động công nghiệp khác,1,,,Hà Nội
228,CÔNG TY CP VINACAFÉ BIÊN HÒA,Đoàn Quốc Hưng,3600261626,"Sản xuất, chế biến và kinh doanh đường",1,"2,901,293","2,216,910",Đồng Nai
229,CÔNG TY CP ĐẦU TƯ & PHÁT TRIỂN CÔNG NGHỆ QUỐC GIA ADG,Đặng Vũ Toàn,0102023052,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,,,Hà Nội
230,CÔNG TY CP XUẤT NHẬP KHẨU THIÊN Á,Phan Thanh Tùng,0101726782,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,,,Hà Nội
231,CÔNG TY CP TẬP ĐOÀN SEMEC,Lê Sơn Long,2900608267,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Nghệ An
232,CÔNG TY CP VẬT TƯ XĂNG DẦU (COMECO),Lê Tấn Thương,0300450673,Kinh doanh xăng dầu và các sản phẩm liên quan,1,"2,899,292","2,659,682",Điện Biên
233,CÔNG TY CP HƯNG THỊNH LAND,Lê Trọng Khương,0302588518,Kinh doanh bất động sản,1,,,TP Hồ Chí Minh
234,CÔNG TY CP ĐÔNG HẢI BẾN TRE,Lê Bá Phương,1300358260,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",1,"2,887,571","4,164,331",Bến Tre
235,CÔNG TY CP THƯƠNG MẠI DẦU KHÍ CỬU LONG,Lê Trung Nguyên Khôi,1500498480,Kinh doanh xăng dầu và các sản phẩm liên quan,1,,,Vĩnh Long
236,CÔNG TY CP TẬP ĐOÀN DẦU KHÍ AN PHA,Trần Minh Loan,0303224471,Kinh doanh xăng dầu và các sản phẩm liên quan,1,"2,723,450","3,391,420",TP Hồ Chí Minh
237,CÔNG TY CP CÔNG NGHIỆP VĨNH TƯỜNG,Trần Đức Huy,0304075529,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,TP Hồ Chí Minh
238,CÔNG TY CP TẬP ĐOÀN ĐIỆN LẠNH ĐIỆN MÁY VIỆT ÚC,Nguyễn Thành Phương,0101360104,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,,,Hà Nội
239,CÔNG TY CP GIỐNG BÒ SỮA MỘC CHÂU,Trần Công Chiến,5500154060,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",1,"2,822,948","2,925,664",Sơn La
240,CÔNG TY CP EUROWINDOW,Nguyễn Cảnh Hồng,2500217526,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hà Nội
241,TỔNG CÔNG TY CÔNG NGHIỆP DẦU THỰC VẬT VIỆT NAM - CTCP,Nguyễn Thị Xuân Liễu,0300585984,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",1,"2,597,678","1,495,931",TP Hồ Chí Minh
242,TỔNG CÔNG TY VẬT LIỆU XÂY DỰNG SỐ 1 - CTCP,Nguyễn Quang Trung,0300402493,"Sản xuất, kinh doanh vật liệu xây dựng",1,"2,715,540","1,460,847",TP Hồ Chí Minh
243,CÔNG TY TNHH VĨNH HIỆP,Thái Như Hiệp,5900315114,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",1,,,Gia Lai
244,CÔNG TY CP TẬP ĐOÀN THIÊN LONG,Trần Phương Nga,0301464830,Hoạt động công nghiệp khác,1,"2,684,552","2,668,275",TP Hồ Chí Minh
245,CÔNG TY CP THỦY SẢN SẠCH VIỆT NAM,Võ Văn Phục,2200325351,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,Sóc Trăng
246,CÔNG TY CP RẠNG ĐÔNG HOLDING,Hồ Đức Lam,0300384357,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,"2,744,311","2,711,376",TP Hồ Chí Minh
247,CÔNG TY CP TẬP ĐOÀN HOÀNG LONG,Nguyễn Quốc Đạo,1100414052,Xây dựng,1,"2,653,763","2,527,103",Long An
248,CÔNG TY CP TẬP ĐOÀN BAMBOO CAPITAL,Nguyễn Thế Tài,0311315789,Dịch vụ khác,1,"1,854,945","2,589,459",TP Hồ Chí Minh
249,CÔNG TY CP GEMADEPT,Nguyễn Thanh Bình,0301116791,Vận tải đường biển,1,"2,605,666","3,206,290",TP Hồ Chí Minh
250,CÔNG TY CP SÀI GÒN FOOD,Nguyễn Quang Tường,0302994301,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,TP Hồ Chí Minh
251,NGÂN HÀNG TMCP XĂNG DẦU PETROLIMEX,Nguyễn Quang Định,1400116233,Ngân hàng,1,,,Hà Nội
252,CÔNG TY CP XÂY DỰNG HỢP LỰC,Trần Ngọc Tân,0103711478,Xây dựng,1,,,Hà Nội
253,CÔNG TY CP VẬT TƯ NÔNG SẢN,Nguyễn Tiến Dũng,0100104066,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",1,,,Hà Nội
254,CÔNG TY TNHH ĐẦU TƯ ĐỊA ỐC THÀNH PHỐ,Bùi Mạnh Hưng,0302980690,Kinh doanh bất động sản,1,,,TP Hồ Chí Minh
255,CÔNG TY TNHH CƠ KHÍ XÂY DỰNG DST VIỆT NAM,Nguyễn Mạnh Hùng,0106462325,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Hà Nội
256,CÔNG TY TNHH THƯƠNG MẠI VÀ CÔNG NGHIỆP MỸ VIỆT,Nguyễn Minh Tuấn,0900239753,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,,,Hưng Yên
257,TỔNG CÔNG TY CP BẢO HIỂM QUÂN ĐỘI,Ông Uông Đông Hưng- chủ tịch,0102385623,Bảo hiểm,1,"2,402,481","2,655,713",Hà Nội
258,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG XUÂN MAI,Nguyễn Cao Thắng,0500443916,Xây dựng,1,"2,140,454","1,612,653",Hà Nội
259,CÔNG TY TNHH MTV BÒ SỮA VIỆT NAM,Trịnh Quốc Dũng,5000268824,Chăn nuôi,1,,,TP Hồ Chí Minh
260,CÔNG TY CP THÉP VÀ VẬT TƯ XÂY DỰNG,Vũ Thị Năm,0101967587,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Hà Nội
261,CÔNG TY TNHH MTV THỨC ĂN THỦY SẢN MEKONG,Đặng Hoàng Phương,1401934305,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,,,Đồng Tháp
262,CÔNG TY CP KỸ THUẬT SIGMA,Nguyễn Quang Ngọc,0101600518,Hoạt động xây dựng khác,1,,,Hà Nội
263,CÔNG TY CP CƠ ĐIỆN TRẦN PHÚ,Đặng Quốc Chính,0100106063,"Sản xuất, kinh doanh thiết bị điện",1,,,Hà Nội
264,CÔNG TY CP VINAFREIGHT,Nguyễn Huy Diệu,0302511219,Hoạt động khác hỗ trợ cho vận tải,1,"2,468,752","4,895,878",TP Hồ Chí Minh
265,CÔNG TY CP NHỰA HƯNG YÊN,Nguyễn Minh Tân,0900108380,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Hưng Yên
266,CÔNG TY CP ỐNG ĐỒNG TOÀN PHÁT,Bùi Hồng Phúc,0900246768,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Hưng Yên
267,CÔNG TY CP TƯ VẤN VÀ XÂY DỰNG PHÚ XUÂN,Nguyễn Quốc Mến,0101185572,Xây dựng,1,,,Hà Nội
268,TỔNG CÔNG TY THIẾT BỊ ĐIỆN ĐÔNG ANH - CTCP,Nguyễn Vũ Cường,0100101322,"Sản xuất, kinh doanh thiết bị điện",1,"2,422,137","2,116,604",Hà Nội
269,CÔNG TY CP TẬP ĐOÀN TOJI,Hồ Minh Tiến,0101261431,"Sản xuất, kinh doanh thiết bị điện",1,,,Hà Nội
270,CÔNG TY TNHH XÂY DỰNG TỰ LẬP,Nguyễn Văn Thỏa,2600251062,Xây dựng,1,,,Phú Thọ
271,CÔNG TY TNHH XUẤT NHẬP KHẨU VI NA ĐẠI VIỆT,Trần Vũ Quỳnh Như,3602576702,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",1,,,Đồng Nai
272,CÔNG TY CP MEGRAM,Đỗ Thành Trung,0105284398,"Sản xuất, kinh doanh thiết bị điện",1,,,Hà Nội
273,CÔNG TY TNHH THIẾT BỊ ĐIỆN LIOA,Nguyễn Chí Linh,0900246535,"Sản xuất, kinh doanh thiết bị điện",1,,,Hưng Yên
274,CÔNG TY CP LICOGI 13,Phạm Văn Thăng,0100106426,Xây dựng,1,"2,338,314","2,439,778",Hà Nội
275,CÔNG TY TNHH XUẤT NHẬP KHẨU - THƯƠNG MẠI - CÔNG NGHỆ - DỊCH VỤ HÙNG DUY,Lê Minh Trúc,3900212443,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,Tây Ninh
276,CÔNG TY CP THƯƠNG MẠI CITICOM,Lê Phụng Thắng,0101370014,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Hà Nội
