Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
0101527385,Chưa niêm yết,TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT,Nguyễn Xuân Việt,Bảo hiểm,,,Hà Nội
3600234534,Chưa niêm yết,CÔNG TY CP VIỆT - PHÁP SẢN XUẤT THỨC ĂN GIA SÚC (PROCONCO),Nguyễn Thị Lệ Hồng,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
0100104595,MVN,TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,Nguyễn Cảnh Tĩnh,Vận tải đường biển,"9,983,942","13,269,462",Hà Nội
0104831030,Chưa niêm yết,CÔNG TY TNHH NHÀ NƯỚC MTV THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL,Phạm Văn Hùng,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
3700306630,Chưa niêm yết,CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,Chen I Shen,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Bình Dương
0302158498,HBC,CÔNG TY CP TẬP ĐOÀN XÂY DỰNG HÒA BÌNH,Lê Viết Hiếu,Xây dựng,"11,224,653","11,355,969",TP Hồ Chí Minh
0301444753,NVL,CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,Nguyễn ngọc Huyên,Kinh doanh bất động sản,"5,026,358","14,902,760",TP Hồ Chí Minh
0300381564,CAV (HOSE),CÔNG TY CP DÂY CÁP ĐIỆN VIỆT NAM,Lê Quang Định,"Sản xuất, kinh doanh thiết bị điện","10,578,973","10,479,096",TP Hồ Chí Minh
3700477019,NKG,CÔNG TY CP THÉP NAM KIM,Võ Hoàng Vũ,"Sản xuất, gia công kim loại, sắt thép, kim khí…","11,559,675","28,173,402",Bình Dương
1100598642,Chưa niêm yết,CÔNG TY CP GREENFEED VIỆT NAM,Đỗ Cao Bằng,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Long An
3700321364,POM,CÔNG TY CP THÉP POMINA,Đỗ Văn Khánh,"Sản xuất, gia công kim loại, sắt thép, kim khí…","9,819,652","14,000,250",Bình Dương
0100233223,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN T&T,Đỗ Quang Hiển,Dịch vụ tài chính khác,,,Hà Nội
0311638525,ACV,TỔNG CÔNG TY CẢNG HÀNG KHÔNG VIỆT NAM - CTCP,Vũ Thế Phiệt,Hoạt động khác hỗ trợ cho vận tải,"7,767,469","4,752,036",TP Hồ Chí Minh
3700146458,Chưa niêm yết,TỔNG CÔNG TY THƯƠNG MẠI XUẤT NHẬP KHẨU THANH LỄ - CTCP,Đoàn Minh Quang,Kinh doanh xăng dầu và các sản phẩm liên quan,"10,669,958","11,901,762",Bình Dương
2900325526,BAB,NGÂN HÀNG TMCP BẮC Á,Thái Hương,Ngân hàng,"2,031,071","2,117,228",Nghệ An
0300100037,Chưa niêm yết,TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MTV,Lê Minh Trang,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
2300105790,DBC,CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Nguyễn Khắc Thảo,"Sản xuất, kinh doanh thức ăn chăn nuôi","10,021,584","10,812,795",Bắc Ninh
0100151161,PVI,CÔNG TY CP PVI,Bùi Vạn Thuận,Bảo hiểm,"1,480,551","1,581,149",Hà Nội
0103414411,Chưa niêm yết,CÔNG TY CP THỰC PHẨM SỮA TH,Rami Hamad,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",,,Hà Nội
4600100155,Chưa niêm yết,CÔNG TY CP GANG THÉP THÁI NGUYÊN,Nguyễn Minh Hạnh,"Sản xuất, gia công kim loại, sắt thép, kim khí…","9,566,187","12,857,295",Thái Nguyên
0302336158,VGP,CÔNG TY CP CẢNG RAU QUẢ,Đặng Như Bình,"Kho bãi, bốc xếp hàng hóa","9,238,488","10,319,544",TP Hồ Chí Minh
0100108173,VGC,TỔNG CÔNG TY VIGLACERA - CTCP,Nguyễn Anh Tuấn,"Sản xuất, kinh doanh vật liệu xây dựng","9,433,049","11,194,313",Hà Nội
0300872315,Chưa niêm yết,NGÂN HÀNG TMCP NAM Á,Trần Ngọc Tâm,Ngân hàng,"2,603,945","4,283,189",TP Hồ Chí Minh
5701942544,Chưa niêm yết,CÔNG TY TNHH TẬP ĐOÀN BIM,Đoàn Quốc Huy,Kinh doanh bất động sản,,,Quảng Ninh
1100549268,Chưa niêm yết,CÔNG TY CP SẢN XUẤT THÉP VINA ONE,Huỳnh Nghĩa Thiện,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Long An
0301450108,Chưa niêm yết,CÔNG TY CP DAIKIN AIR CONDITIONING (VIETNAM),Lý Thị Phương Trang,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
0301049150,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN,Hồ Minh Trí,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
0105402531,Chưa niêm yết,TỔNG CÔNG TY BẢO HIỂM PVI,Phạm Anh Đức,Bảo hiểm,,,Hà Nội
0309966889,MSR,CÔNG TY CP MASAN HIGH-TECH MATERIALS,Craig Richard Bradshaw,Dịch vụ khác,"7,291,181","13,564,290",TP Hồ Chí Minh
1100598716,Chưa niêm yết,CÔNG TY CP THÉP TVP,Ninh Thị Bích Thùy,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Long An
0301472704,PAN,CÔNG TY CP TẬP ĐOÀN PAN,Nguyễn Trà My,Hoạt động nông nghiệp khác,"8,329,251","9,248,572",Hà Nội
3600852146,Chưa niêm yết,CÔNG TY CP DỆT RENZE,Zhou Bo Qin,"Sản xuất, kinh doanh sợi, sản phẩm dệt",,,Đồng Nai
0801210129,APH,CÔNG TY CP TẬP ĐOÀN AN PHÁT HOLDINGS,Đinh Xuân Cường,Dịch vụ tài chính khác,"8,484,891","14,793,871",Hải Dương
0301446422,HT1,CÔNG TY CP XI MĂNG VICEM HÀ TIÊN,Lưu Đình Cường,"Sản xuất, kinh doanh vật liệu xây dựng","7,962,629","7,064,342",TP Hồ Chí Minh
0100105616,VCG,TỔNG CÔNG TY CP XUẤT NHẬP KHẨU VÀ XÂY DỰNG VIỆT NAM,Nguyễn Xuân Đông,Xây dựng,"5,551,436","5,749,000",Hà Nội
0302705302,KDC,CÔNG TY CP TẬP ĐOÀN KIDO,Trần Lệ Nguyên,"Sản xuất, chế biến và kinh doanh đường","8,323,616","10,496,864",TP Hồ Chí Minh
0301952517,Chưa niêm yết,CÔNG TY TNHH HÀO HƯNG,Thang Văn Hóa,Hoạt động công nghiệp khác,,,TP Hồ Chí Minh
0105850244,VRE,CÔNG TY CP VINCOM RETAIL,Trần Mai Hoa,Kinh doanh bất động sản,"8,328,918","5,891,141",Hà Nội
3500790168,Chưa niêm yết,CÔNG TY TNHH MTV DỊCH VỤ CƠ KHÍ HÀNG HẢI PTSC,Đồng Xuân Thắng,Công nghiệp đóng tàu và thuyền,,,Bà Rịa - Vũng Tàu
0102516308,Chưa niêm yết,CÔNG TY CP MEDIAMART VIỆT NAM,Lê Quang Vũ,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
0100514947,Chưa niêm yết,TẬP ĐOÀN GELEXIMCO - CTCP,Vũ Văn Tiền,Kinh doanh bất động sản,,,Hà Nội
3700148737,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Nguyễn Đức Thuấn,"Sản xuất, kinh doanh sản phẩm da giầy",,,Bình Dương
0101210878,Chưa niêm yết,CÔNG TY TNHH DENSO VIỆT NAM,Mitsuo Ota,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
0303165480,DPM,TỔNG CÔNG TY PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ - CTCP,Lê Cự Tân,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","7,761,819","12,786,141",TP Hồ Chí Minh
0301412222,Chưa niêm yết,NGÂN HÀNG TMCP AN BÌNH,Lê Hải,Ngân hàng,"2,381,546","3,064,563",TP Hồ Chí Minh
0101376672,BHN,TỔNG CÔNG TY CP BIA - RƯỢU - NƯỚC GIẢI KHÁT HÀ NỘI,Ngô Quế Lâm,"Sản xuất, chế biến và kinh doanh đồ uống có cồn","7,452,592","6,950,539",Hà Nội
0305482862,PSD,CÔNG TY CP DỊCH VỤ PHÂN PHỐI TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","8,237,757","8,595,396",TP Hồ Chí Minh
0100520429,Chưa niêm yết,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA,Lưu Tuyết Mai,"Sản xuất, kinh doanh đồ dùng gia đình",,,Hà Nội
0303527596,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ XÂY DỰNG RICONS,Trần Quang Quân,Xây dựng,,,TP Hồ Chí Minh
0101992921,Chưa niêm yết,TỔNG CÔNG TY ĐẦU TƯ VÀ KINH DOANH VỐN NHÀ NƯỚC-CÔNG TY TNHH,Nguyễn Chí Thành,Dịch vụ tài chính khác,,,Hà Nội
0309103635,Chưa niêm yết,NGÂN HÀNG TNHH MTV SHINHAN VIỆT NAM,Kang Gew Won,Ngân hàng,,,TP Hồ Chí Minh
2001012298,DCM,CÔNG TY CP PHÂN BÓN DẦU KHÍ CÀ MAU,Văn Tiến Thanh,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","7,561,275","9,869,763",Cà Mau
1600192619,LTG,CÔNG TY CP TẬP ĐOÀN LỘC TRỜI,Nguyễn Duy Thuận,Hoạt động nông nghiệp khác,"7,505,793","10,224,140",An Giang
0302743192,PVT,TỔNG CÔNG TY CP VẬN TẢI DẦU KHÍ,Nguyễn Duyên Hiếu,Vận tải đường biển,"7,382,694","7,460,234",TP Hồ Chí Minh
3600283394,TID,CÔNG TY CP TỔNG CÔNG TY TÍN NGHĨA,Trần Trung Tuấn,Kinh doanh bất động sản,"7,416,931","7,056,020",Đồng Nai
0304998686,PGD,CÔNG TY CP PHÂN PHỐI KHÍ THẤP ÁP DẦU KHÍ VIỆT NAM,Trần Thanh Nam,Kinh doanh xăng dầu và các sản phẩm liên quan,"7,526,764","8,996,080",TP Hồ Chí Minh
0800373586,AAA,CÔNG TY CP NHỰA AN PHÁT XANH,Đinh Xuân Cường,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","7,428,557","13,143,110",Hải Dương
0106181807,Chưa niêm yết,CÔNG TY CP GIAO HÀNG TIẾT KIỆM,Phạm Hồng Quân,"Bưu chính, chuyển phát",,,Hà Nội
3600239719,Chưa niêm yết,CÔNG TY CP HỮU HẠN VEDAN VIỆT NAM,Yang Kun Hsiang,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Đồng Nai
1400112623,VHC,CÔNG TY CP VĨNH HOÀN,Nguyễn Ngô Vi Tâm,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","7,037,180","9,054,249",Đồng Tháp
3700229344,Chưa niêm yết,CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,Berend van Wel,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",,,Bình Dương
0301429113,CC1,TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,Lê Hữu Việt Đức,Xây dựng,"6,845,439","5,664,069",TP Hồ Chí Minh
0300401524,Chưa niêm yết,TỔNG CÔNG TY CP MAY VIỆT TIẾN,Bùi Văn Tiến,"Sản xuất, kinh doanh trang phục","7,120,959","6,008,314",TP Hồ Chí Minh
0301437499,Chưa niêm yết,CÔNG TY CP HIM LAM,Dương Công Hùng,Kinh doanh bất động sản,,,TP Hồ Chí Minh
0311241512,Chưa niêm yết,CÔNG TY TNHH AEON VIỆT NAM,Yasuo Nishitohge,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
4200486169,Chưa niêm yết,TỔNG CÔNG TY KHÁNH VIỆT,Lê Tiến Anh,"Sản xuất, chế biến và kinh doanh thuốc lá",,,Khánh Hòa
2200108445,Chưa niêm yết,CÔNG TY CP THỦY SẢN SÓC TRĂNG,Trần Văn Phẩm,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Sóc Trăng
0302483177,CII,CÔNG TY CP ĐẦU TƯ HẠ TẦNG KỸ THUẬT TP. HỒ CHÍ MINH,Lê Quốc Bình,Xây dựng,"5,374,092","2,860,034",TP Hồ Chí Minh
0303283290,Chưa niêm yết,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHAN MINH,Phan Hùng Minh,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,TP Hồ Chí Minh
3700145020,BCM,TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,Phạm Ngọc Thuận,Kinh doanh bất động sản,"6,504,738","6,989,749",Bình Dương
4300205943,QNS,CÔNG TY CP ĐƯỜNG QUẢNG NGÃI,Võ Thành Đàng,"Sản xuất, chế biến và kinh doanh đường","6,213,489","7,335,294",Quảng Ngãi
2500267703,VGS,CÔNG TY CP ỐNG THÉP VIỆT - ĐỨC VG PIPE,Nguyễn Hữu Thể,"Sản xuất, gia công kim loại, sắt thép, kim khí…","2,506,408","1,688,167",Vĩnh Phúc
0100100745,PC1,CÔNG TY CP TẬP ĐOÀN PC1,Trịnh Văn Tuấn,Hoạt động xây dựng khác,"6,678,601","9,828,463",Hà Nội
0300797153,Chưa niêm yết,CÔNG TY TNHH FURUKAWA AUTOMOTIVE PARTS (VIETNAM),Morishima Takao,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
0100114522,Chưa niêm yết,CÔNG TY TNHH KIMBERLY CLARK VIỆT NAM,Kate Good Man,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Bình Dương
0100106144,Chưa niêm yết,TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN NHÀ VÀ ĐÔ THỊ (HUD),Nguyễn Đức Hùng,Kinh doanh bất động sản,,,Hà Nội
0100105870,SJG,TỔNG CÔNG TY SÔNG ĐÀ - CTCP,Hồ Văn Dũng,Xây dựng,"883,327","1,559,852",Hà Nội
1700169765,NVB,NGÂN HÀNG TMCP QUỐC DÂN,Phạm Thế Hiệp,Ngân hàng,"1,433,742","1,259,219",Hà Nội
0104753865,CTR,TỔNG CÔNG TY CP CÔNG TRÌNH VIETTEL,Phạm Đình Trường,Hoạt động xây dựng khác,"6,359,187","7,446,888",Hà Nội
0302963695,VAB,NGÂN HÀNG TMCP VIỆT Á,Nguyễn Văn Trọng,Ngân hàng,"1,310,780","1,551,307",Hà Nội
0303141296,IDI,CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN ĐA QUỐC GIA I.D.I,Lê Văn Chung,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","6,366,756","5,718,848",Đồng Tháp
0312545104,Chưa niêm yết,CÔNG TY TNHH EXPEDITORS VIỆT NAM,Michael Joseph Mooney,Vận tải đường biển,,,TP Hồ Chí Minh
0303490096,Chưa niêm yết,CÔNG TY CP VNG,Lê Hồng Minh,"Dịch vụ vui chơi, giải trí",,,TP Hồ Chí Minh
0302803331,Chưa niêm yết,CÔNG TY CP TETRA PAK VIỆT NAM,Fehmi Nejat Caliskan,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,TP Hồ Chí Minh
0309174756,Chưa niêm yết,CÔNG TY CP KIM LOẠI MÀU VÀ NHỰA ĐỒNG VIỆT,Chinawat Assavapokee,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
0100106313,Chưa niêm yết,TỔNG CÔNG TY LẮP MÁY VIỆT NAM-CÔNG TY TNHH MTV,Lê Văn Tuấn,Xây dựng,"6,060,290","3,826,142",Hà Nội
2200269805,VBB,NGÂN HÀNG TMCP VIỆT NAM THƯƠNG TÍN,Nguyễn Hữu Trung,Ngân hàng,"569,759","1,486,208",Sóc Trăng
3600897316,NT2,CÔNG TY CP ĐIỆN LỰC DẦU KHÍ NHƠN TRẠCH 2,Ngô Đức Nhân,"Sản xuất, truyền tải, phân phối điện","6,082,248","6,149,584",Đồng Nai
0105690657,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VHC (SIÊU THỊ ĐIỆN MÁY HC),Nguyễn Hoàng Hải,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
3700667933,Chưa niêm yết,CÔNG TY TNHH THỰC PHẨM ORION VINA,Kang Weon Kee,"Sản xuất, chế biến và kinh doanh bánh kẹo",,,Bình Dương
0301129367,Chưa niêm yết,TỔNG CÔNG TY CẤP NƯỚC SÀI GÒN - TNHH MTV,Hồ Văn Lâm,"Cung cấp, kinh doanh nước",,,TP Hồ Chí Minh
0301466073,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ THÀNH THÀNH CÔNG,Huỳnh Bích Ngọc,"Sản xuất, chế biến và kinh doanh đường",,,TP Hồ Chí Minh
0700576529,Chưa niêm yết,CÔNG TY CP XI MĂNG XUÂN THÀNH,Nguyễn Xuân Thủy,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nam
0305268812,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ SÀI GÒN VRG,Trần Mạnh Hùng,Xây dựng,"5,082,583","5,577,559",TP Hồ Chí Minh
0300741143,REE,CÔNG TY CP CƠ ĐIỆN LẠNH,Huỳnh Thanh Hải,Hoạt động xây dựng khác,"5,639,753","5,809,811",TP Hồ Chí Minh
0307979603,CTF,CÔNG TY CP CITY AUTO,Nguyễn Hoàng Minh Tiến,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","5,644,019","4,508,688",TP Hồ Chí Minh
1700523208,KTC,CÔNG TY CP THƯƠNG MẠI KIÊN GIANG,Phạm Văn Hoàng,Kinh doanh xăng dầu và các sản phẩm liên quan,"5,717,954","5,675,011",Kiên Giang
0500469512,VCS,CÔNG TY CP VICOSTONE,Phạm Anh Tuấn,"Sản xuất, kinh doanh vật liệu xây dựng","5,659,595","7,070,129",Hà Nội
0101463614,PLC,TỔNG CÔNG TY HÓA DẦU PETROLIMEX - CTCP,Lê Quang Tuấn,Kinh doanh xăng dầu và các sản phẩm liên quan,"5,608,435","6,868,374",Hà Nội
0300481551,Chưa niêm yết,TỔNG CÔNG TY CƠ KHÍ GIAO THÔNG VẬN TẢI SÀI GÒN - TNHH MTV,Trần Quốc Toản,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
0200108811,Chưa niêm yết,CÔNG TY LIÊN DOANH SẢN XUẤT THÉP VINAUSTEEL,Trần Tuấn Anh,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Phòng
4100259236,PTB,CÔNG TY CP PHÚ TÀI,Lê Văn Thảo,"Sản xuất, kinh doanh vật liệu xây dựng","5,601,237","6,491,949",Bình Định
0302505776,Chưa niêm yết,CÔNG TY CP ĐẠI TÂN VIỆT,Didier Lachize,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,TP Hồ Chí Minh
0101436307,Chưa niêm yết,CÔNG TY CP HÓA DẦU QUÂN ĐỘI (MIPEC),Dư Cao Sơn,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Hà Nội
4200485207,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI KHATOCO,Nguyễn Đình Thạch,"Sản xuất, chế biến và kinh doanh thuốc lá",,,Khánh Hòa
0304472276,Chưa niêm yết,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG UNICONS,Võ Hoàng Lâm,Xây dựng,,,TP Hồ Chí Minh
0100776445,SHI,CÔNG TY CP QUỐC TẾ SƠN HÀ,Lê Hoàng Hà,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","5,360,118","7,074,613",Hà Nội
0100109385,DVN,TỔNG CÔNG TY DƯỢC VIỆT NAM - CTCP,Đinh Xuân Hấn,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","5,311,210","4,873,577",Hà Nội
0302495126,PVD,TỔNG CÔNG TY CP KHOAN VÀ DỊCH VỤ KHOAN DẦU KHÍ,Nguyễn Xuân Cường,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","5,228,639","3,995,472",TP Hồ Chí Minh
0302975517,Chưa niêm yết,CÔNG TY CP PHÂN BÓN BÌNH ĐIỀN,Ngô Văn Đông,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","5,418,393","7,742,796",TP Hồ Chí Minh
0302000126,HAX,CÔNG TY CP DỊCH VỤ Ô TÔ HÀNG XANH,Nguyễn Thị Ngọc Bích,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","5,569,552","5,551,485",TP Hồ Chí Minh
0303498754,TAC,CÔNG TY CP DẦU THỰC VẬT TƯỜNG AN,Bùi Thanh Tùng,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật","5,338,646","6,347,022",TP Hồ Chí Minh
0300608568,Chưa niêm yết,CÔNG TY TNHH SIAM CITY CEMENT (VIETNAM) (INSEE),Philippe Bernard Richart,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
